,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Biodiversitaetsfonds,Go To AT Biodiversitaetsfonds,Biodiversitätsfonds ,https://biodiversitaetsfonds.com/,Austria,0,all regions,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,up to 100%,NO,0,NO,YES,0,MEDIUM,0,,"The Biodiversity Fund aims to conserve, enhance and restore biodiversity in Austria by supporting measures to implement the national biodiversity strategy in addition to measures under the European Union's Common Agricultural Policy or the Forest Fund.
or the Forest Fund.",until 2026: Monitoring and assessment of the status and trends of biodiversity in Austria,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://biodiversitaetsfonds.com/,biodiversitaetsfonds@kommunalkredit.at; 01/31 6 31 - 807,0,0,0,0,0,0
AT Umweltförderung - Gewässer ,Go To AT Umweltförderung - Gewässer ,Umweltförderung Gewässerökologie ,https://www.umweltfoerderung.at/gemeinden/gewaesseroekologie/wasser,Austria,0,all regions,0,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,up to 60 %,0,0,NOT SPECIFIED,NOT SPECIFIED,0,MEDIUM,national language,,The aim of the funding is to promoting measures to improve the ecological status of water bodies is to reduce hydromorphological pressures in order to achieve the requirements of the EU Water Framework Directive and the Water Act. ,0,"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.umweltfoerderung.at/,wasser@kommunalkredit.at; 01/31 6 31-734,0,0,0,0,0,0
AT Umweltförderung - Hochwasser,Go To AT Umweltförderung - Hochwasser,Umweltförderung Hochwasser  ,https://www.umweltfoerderung.at/gemeinden/hochwasserschutz/wasser,Austria,0,0,0,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,up to 100 %,0,0,NOT SPECIFIED,NOT SPECIFIED,0,MEDIUM,national language,,"Improvement of runoff conditions (flood retention)
Protection against floods 
Safeguarding and improving the ecological functioning of water bodies, insofar as the above-mentioned objectives are also met",0,"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.umweltfoerderung.at/,hochwasserschutz@kommunalkredit.at,0,0,0,0,0,0
DE ZUG,Go To DE ZUG,Förderung von Maßnahmen zur Anpassung an die Folgen des Klimawandels ,https://www.z-u-g.org/das/,Germany,0,All regions ,0,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,up to 90 %,0,0,NOT SPECIFIED,NO,0,MEDIUM,national language,,The funding creates targeted incentives for strategic management of adaptation to climate change in municipalities with the help of municipal adaptation concepts. The aim is to use existing opportunities and reduce damage.,0,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety and Consumer Protection",,1,Beginning with municipal adaptation management,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.z-u-g.org/,+49 30 390 012 01 ,0,0,0,0,0,0
DE Waldklimafonds,Go To DE Waldklimafonds, Waldklimafonds – Erhalt und Ausbau des CO2-Minderungspotenzials von Wald und Holz sowie Anpassung der Wälder an den Klimawandel ,https://www.waldklimafonds.de/,Germany,0,all regions ,0,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,up to 100 %  ,NO,0,NOT SPECIFIED,NOT SPECIFIED,0,0,national language,,"The Forest Climate Fund promotes measures to preserve and expand the CO2 reduction potential of forests and wood and to adapt forests to climate change. This includes, among other things, measures for the restoration, re-dynamisation and new creation of natural or nature-compatible used riparian and wetland forests.",0,"Federal Ministry of Food and Agriculture and Federal Ministry for the Environment, Nature Conservation and Nuclear Safety and Consumer Protection",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.waldklimafonds.de/,wkf@kiwuh.fnr.de; 03843 6930340 ,0,0,0,0,0,0
DE Biologische Vielfalt ,Go To DE Biologische Vielfalt , Bundesprogramm Biologische Vielfalt ,https://www.bfn.de/foerderprogramm-bpbv,Germany,0,0,0,YES,NO ,NO,NO ,YES,YES,YES,YES,NO,YES,NO ,NO ,NO ,YES,NO ,NO ,NO ,NO ,NO ,YES,NO ,YES,NO ,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,normally 75 %; up to 90 % possible  ,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,The funded measures should contribute to halting the decline of biodiversity in Germany and reversing it into a positive trend in the medium to long term. ,0,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety and Consumer Protection",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.bmuv.de/programm/bundesprogramm-biologische-vielfalt,programmbuero-bpbv@dlr.de; 0228 38211809 ,0,0,0,0,0,0
DE Waldmanagement,Go To DE Waldmanagement,Klimaangepasstes Waldmanagement ,https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMEL/klimaangepasstes-waldmanagement.html,Germany,0,0,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,up to EUR 100.00 per hectare and year,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The purpose of the grant is to change forest management by introducing and disseminating forest management that is particularly adapted to climate change and that maintains and develops resilient, adaptable and productive forests. Climate-adapted forest management helps to improve biodiversity and contributes to climate protection and other ecosystem services.",0,Federal Ministry of Food and Agriculture,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.klimaanpassung-wald.de/,03843 6930600 ; klimaanpassung-wald@fnr.de,0,0,0,0,0,0
DE soziale Einrichtungen ,Go To DE soziale Einrichtungen ,Klimaanpassung in sozialen Einrichtungen ,https://www.z-u-g.org/anpaso/,Germany,0,all regions ,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,up to 90% possible ,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,The purpose of this funding guideline is to provide targeted incentives for the sustainable and climate-resilient adaptation of social institutions by promoting exemplary model projects in social institutions that inspire imitation.,0,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety and Consumer Protection",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.z-u-g.org/anpaso/,030 700181605; anpaso@z-u-g.org ,0,0,0,0,0,0
DE KfW-Umwelt­programm,Go To DE KfW-Umwelt­programm,KfW-Umweltprogramm,https://www.kfw.de/inlandsfoerderung/Unternehmen/Energie-und-Umwelt/F%C3%B6rderprodukte/Umweltprogramm-(240-241)/?redirect=74123 ,Germany,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Repayment subsidy (partial debt relief),YES,YES,YES,YES,YES," loan with favourable interest rate, up to 100 % of investment costs covered; up to 60 % repayment subsidy possible for ",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The KfW Environmental Program provides low-interest financing for general environmental protection measures taken by commercial enterprises, such as measures for environmentally friendly, nature and resource-conserving and circular economy management, for improving climate protection or for adapting to the consequences of climate change. In particular, funding is also provided for investments that already prevent or significantly reduce the creation of environmental pollution, and especially for those that rely on nature-based solutions and contribute to a green infrastructure. Funding is alos possible for branches abroad",0,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety and Consumer Protection",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.kfw.de/inlandsfoerderung/Unternehmen/Energie-und-Umwelt/F%C3%B6rderprodukte/Umweltprogramm-(240-241)/?redirect=74123,0800 539 9001,0,0,0,0,0,0
DE Measures to adapt to the con,Go To DE Measures to adapt to the con,Measures to adapt to the consequences of climate change,https://www.z-u-g.org/das/,Germany,0,All regions,0,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,up to 90% of co-financing,NOT SPECIFIED,0,YES,NO,0,MEDIUM,national language,,"The funding programme aims to support the strategic managmenet of adaptation to climate change in municipalities, fostering long-term and systematic planning.","- Priority Area A for local authorities only
- Priority Area B for a wide variety of beneficiaries","Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.z-u-g.org/das/foerderaufrufe-liste/,"das-foerderprogramm@z-u-g.org
+49 (0)228/99-305-0
https://www.bmuv.de/service/buergerservice/kontaktformular-fuer-ihre-fragen",https://www.z-u-g.org/fileadmin/zug/Dateien/Foerderprorgamme/DAS_Anpassung_an_den_Klimawande/211203_FAQ_DAS_FSPB_final.pdf,FAQs,https://www.z-u-g.org/fileadmin/zug/Dateien/Foerderprorgamme/DAS_Anpassung_an_den_Klimawande/2022_12_20_Gefoerderte_Projekte_DAS-Programm_final.pdf,report on past calls,0,0
DE Promotion of urban developme,Go To DE Promotion of urban developme,Promotion of Urban Development ,https://www.staedtebaufoerderung.info/DE/Startseite/startseite_node.html,Germany,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,up to 90% of co-financing,NOT SPECIFIED,0,YES,NO,0,HIGH,national language,,The fund aims at supporting municipalities in the development of holistic and integrated urban plans.,Living towns and centres,"Federal Ministry for Housing, Urban Development and Building",,1,Living Towns,financing integrated measures for preservation and development of towns and city cores,https://www.staedtebaufoerderung.info/DE/Programme/LebendigeZentren/lebendigezentren_node.html;jsessionid=F6FBE50917B70D9524F931459A2609E3.live11291,0,0,0,0,0,0,0,0,0,0,0,,https://www.staedtebaufoerderung.info/EN/Service/c,https://www.staedtebaufoerderung.info/DE/Service/KontaktPresseformular/kontaktpresseformular_node.html,https://www.staedtebaufoerderung.info/DE/Praxis/Wissenstransfer/Tutorials/tutorials_node.html,video tutorials,https://www.staedtebaufoerderung.info/SharedDocs/downloads/DE/Praxis/ArbeitshilfenundLeitfaeden/Broschuere_Staedtebaufoerderung_2021.pdf?__blob=publicationFile&v=4,Funding conditions,0,0
GR CAP Strategic Plan,Go To GR CAP Strategic Plan,Strategic Plan of the Common Agricultural Policy 2023-2027,"http://www.agrotikianaptixi.gr/el/keimeno-synimmena-paa/egkrisi-tropopoiiseis 
https://www.minagric.gr/2013-04-05-10-13-09/ministry-example/diavoylefsi-i-kap-meta-to-2020-list/12311-kap2023-2027-130122",Greece,0,All regions of Greece.,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,"Subsidies are paid directly to farmers (direct payments) while in the case of rural development funding, this is provided in the form mainly of grants",YES,YES,YES,YES,YES,40-100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The main objective of the Strategic Plan of the Common Agricultural Policy (CAP) for the period 2023-2027 is to support the sustainable development of the Agriculture and food sectors, by ensuring sustainable agricultural incomes and strengthening competitiveness, as well as by strengthening of the socio-economic fabric of rural areas, while contributing to the achievement of environmental and climate goals, at national and European level. Environmental and climate ambition will be achieved through the new ""Green Architecture"" of the CAP. The three key elements in the Green Architecture are i) Enhanced Conditionality, ii) Pillar 1 Ecological Schemes and iii) Pillar 2 climate and environment related interventions.",0,"Special RDP Management Service 2023-27, General Secretariat of Union Resources and Infrastructure, Ministry of Rural Development and Food of Greece",,1,Pillar 1: Direct payments,"1. Basic income support
2. Redistributive income support
3. Complementary support for young farmers
4. Climate, environment and animal welfare schemes
5. Coupled income support",0,0,0,0,0,0,0,0,0,0,0,0,,http://www.agrotikianaptixi.gr/el/content/epikeimenes-proskliseis,http://www.agrotikianaptixi.gr/el/content/%CE%B5%CF%80%CE%B9%CE%BA%CE%BF%CE%B9%CE%BD%CF%89%CE%BD%CE%AF%CE%B1,0,0,0,0,0,0
GR RRF,Go To GR RRF,National Recovery and Resilience Plan - Ελλάδα 2.0,https://greece20.gov.gr/,Greece,0,All regions of Greece.,0,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,1,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The plan aspires to lead the country -economy, society and institutions into a new era. To trigger a fundamental change towards a more outward-looking, competitive and green productive model. a more efficient and digitised state, less bureaucratic and with a more a quality and efficient social protection network accessible to all.",1. Green Transition,"Ministry of Finance, Special Service for the Coordination of the Recovery Fund",,1,"Not a sub-programme. Priority axis (line 41).
1. Green transition","1.1 Transition to a new environmentally friendly energy model
1.2 Energy upgrading of the country's building stock and spatial reform
1.3 Transition to a green and sustainable transport system
1.4 Sustainable use of resources, climate change resilience and biodiversity conservation",0,"1.4. protection of the environment, through reforestation initiatives and actions to protect biodiversity; strengthening and upgrading the capabilities of Greece's civil protection mechanism and addressing challenges related to climate change",0,0,0,0,0,0,0,0,0,0,,https://greece20.gov.gr/proskliseis-xrimatodotisis/,"Ελ.Βενιζέλου (Πανεπιστημίου) 25, 6ος όροφος, 105 64 Αθήνα, (+30) 2103338902, 2103338908, rrfa_communication@minfin.gr, rrfasupport@minfin.gr",0,0,0,0,0,0
GR ETC,Go To GR ETC,European Territorial Cooperation Programmes,https://interreg.gr/en/interreg-special-service/,Greece,"Albania, Cyprus, North Macedonia, Bulgaria, Italy,  San Marino, Serbia, Italy, Bosnia and Herzegovina, Montenegro",0,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,mainly up to 80%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The European Territorial Cooperation (INTERREG) Programmes aim to address common cross-border and transnational challenges, support synergies through joint partnerships and consolidate strong cooperation with a view to enable a balanced, economic, social and spatial development at European level.",0,Managing Authority Interreg 2021-2027 (Ministry of Development and Investments),,1,"Cross-border INTERREG Programmes:
INTERREG VI-A “Greece – Bulgaria”
INTERREG VI-A “Greece – Italy”
INTERREG VI-A “Greece – Cyprus”
INTERREG IPA “Greece –Albania”
INTERREG IPA “Greece –North Macedonia”",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://interreg.eu/call-for-project/,"65 Georgikis Scholis Av. Thessaloniki, GR – 570 01, Call center: +30 2310 469600, Fax: +30 2310 469602, Email: interreg@mou.gr",0,0,0,0,0,0
GR PA Envir-Climate change,Go To GR PA Envir-Climate change,"Environment and Climate Change Sectoral Programme, Partnership Agreement Greece 2021-27",https://www.espa.gr/el/Pages/staticPEnvironmentandClimateChange.aspx,Greece,0,All regions of Greece.,0,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,1,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The programme envisions to lead to: ""A greener and more resilient low-carbon Europe by promoting the transition to clean energy, green and blue investments, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility"", contributing to the achievement of Policy Objective 2 of the NSRF 2021 - 2027 and the European Cohesion Policy. The Programme aims to implement the country's development strategy in the thematic areas of: a) Environment (Protection of the natural environment, Management of liquid and solid waste and promotion of circular economy, Protection of the aquatic environment and rational management of water resources, protection from air pollution and the adverse effects of noise pollution) and b) Climate Change Adaptation and Energy (Flood protection, prevention Climate Change mitigation and adaptation, Savings - Energy Efficiency, Implementation of the National Plan for Energy and Climate, Promotion of energy production from RES)","1. Energy efficiency, RES promotion and energy infrastructure
","Special Secreteriat for Administering the Programme ""Environment and climate change"" (ΕΥΔ ΠΕΚΑ)",,1,Not sub-programme. Similarly to the priority areas,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://ymeperaa.gr/2-uncategorised/1773-programmatismos-proskliseon-programmatos-perivallon-kai-klimatiki-allagi-2021-2027,"Αεροπόρου Παπαναστασίου 34β, 115 27, Αθήνα, Τηλ: 213 2142200, 213 2142295
web: http://www.ymeperaa.gr/, e-mail: grammateia-epperaa@mou.gr",0,0,0,0,0,0
GR PA Regional,Go To GR PA Regional,"12 Regional programmes, Partnership Agreement Greece 2021-27",https://www.espa.gr/el/Pages/staticRegionalProgrammes.aspx,Greece,0,All regions of Greece.,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,1,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Strategic objectives of the Regional Programmes are:
- Strengthening and diversifying the regional economy through the exploitation of research and innovation
- promoting sustainability, rational and efficient management of natural resources - tackling climate change
- Strengthening social cohesion and human resources
- Strengthening mobility
- Supporting sustainable and integrated territorial development",0,Individual Special Secreteriats for each Regional Programme,,1,"Ανατολική Μακεδονία, Θράκη",0,www.eydamth.gr/,0,0,0,0,0,0,0,0,0,0,0,,the links to the calls may be found inside to the individual webpages of the regional programmes,Contact information for the individual programmes may be found in the individual links provided in row 47,0,0,The individual regional programmes and their specific goals and actions may be found in the respective webpages provided in row 49,0,0,0
GR GRFU NaturalEnv,Go To GR GRFU NaturalEnv,Natural Environment and Innovative Actions 2023 (Φυσικό περιβάλλον και καινοτόμες δράσεις),https://prasinotameio.gr/2023/02/06/%cf%80%cf%81%cf%8c%ce%b3%cf%81%ce%b1%ce%bc%ce%bc%ce%b1-%cf%86%cf%85%cf%83%ce%b9%ce%ba%ce%bf-%cf%80%ce%b5%cf%81%ce%b9%ce%b2%ce%b1%ce%bb%ce%bb%ce%bf%ce%bd-%ce%ba%ce%b1%ce%b9%ce%bd%ce%bf%cf%84%ce%bf/,Greece,0,All 13 Greek regions,0,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,1,NOT SPECIFIED,"As a general rule, overheads are not covered. Overheads costs are covered only if specificed in the call/axis' rules. ",NOT SPECIFIED,NO,0,MEDIUM,National language,,"Support actions for the protection, enhancement and restoration of the natural environment, including CCA-relevant actions.",0,Green Fund (Πράσινο Ταμείο),,1,AXIS I - Continued projects,Projects granted in previous years that are being implemented in 2023.,0,NO,0,0,0,0,0,0,0,0,0,0,,https://prasinotameio.gr/2023/02/06/%cf%80%cf%81%cf%8c%ce%b3%cf%81%ce%b1%ce%bc%ce%bc%ce%b1-%cf%86%cf%85%cf%83%ce%b9%ce%ba%ce%bf-%cf%80%ce%b5%cf%81%ce%b9%ce%b2%ce%b1%ce%bb%ce%bb%ce%bf%ce%bd-%ce%ba%ce%b1%ce%b9%ce%bd%ce%bf%cf%84%ce%bf/,https://prasinotameio.gr/contact/,Not Available.,Information on the separate axis of the call in a table format.,0,"Guide for applicants, guide for beneficiaries, proposal template, budget template, technical report template, financial template for 3 axis. List of continued projects for Axis I.",0,0
GR GRFU EnvBalance,Go To GR GRFU EnvBalance,Environmental Balance 2023 (Περιβαλλοντικό Ισοζύγιο),https://prasinotameio.gr/2023/02/06/%cf%80%cf%81%cf%8c%ce%b3%cf%81%ce%b1%ce%bc%ce%bc%ce%b1-%cf%80%ce%b5%cf%81%ce%b9%ce%b2%ce%b1%ce%bb%ce%bb%ce%bf%ce%bd%cf%84%ce%b9%ce%ba%ce%bf-%ce%b9%cf%83%ce%bf%ce%b6%cf%85%ce%b3%ce%b9%ce%bf-2023/,Greece,0,13 Greek regions,0,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,"multiple, in the range of 20%-100% depending on the type of projects",NO,0,YES,NO,0,MEDIUM,National language,,"Urban upgrade of cities, restoration of buildings, with special provisions for improving the micro-climate, increasing green areas and enhancing high qua;ity and safety in the urban environment.",Urban revitilization,Green Fund (Πράσινο Ταμείο),,1,AXIS I - Continued projects,Projects granted in previous years that are being implemented in 2023.,0,NO,0,0,0,0,0,0,0,0,0,0,,https://prasinotameio.gr/wp-content/uploads/2023/04/2502_%CE%A0%CF%81%CF%8C%CF%83%CE%BA%CE%BB%CE%B7%CF%83%CE%B7_%CE%A0%CE%99_2023.pdf,https://prasinotameio.gr/contact/,Not Available.,Link to the call,https://prasinotameio.gr/wp-content/uploads/2023/05/%CE%9F%CE%94%CE%97%CE%93%CE%9F%CE%A3-%CE%A0%CE%99-2023_v2.pdf,Guide for applicants/beneficiaries,https://prasinotameio.gr/2023/04/26/%cf%80%cf%81%ce%bf%cf%83%ce%ba%ce%bb%ce%b7%cf%83%ce%b7-%cf%85%cf%80%ce%bf%ce%b2%ce%bf%ce%bb%ce%b7%cf%83-%cf%80%cf%81%ce%bf%cf%84%ce%b1%cf%83%ce%b5%cf%89%ce%bd-%ce%b3%ce%b9%ce%b1-%cf%84%ce%b1-%ce%b5/,Templates and checklists
GR GRFU Forests,Go To GR GRFU Forests,Protection and Restoration of Forests 2023 (Προστασία και Αναβάθμιση Δασών),https://prasinotameio.gr/2023/02/06/%cf%80%cf%81%cf%8c%ce%b3%cf%81%ce%b1%ce%bc%ce%bc%ce%b1-%cf%80%cf%81%ce%bf%cf%83%cf%84%ce%b1%cf%83%ce%af%ce%b1-%ce%ba%ce%b1%ce%b9-%ce%b1%ce%bd%ce%b1%ce%b2%ce%ac%ce%b8%ce%bc%ce%b9%cf%83%ce%b7-%ce%b4/,Greece,0,"Forests, forestrial areas and ecosystems in the 13 Greek Regions",0,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,1,NOT SPECIFIED,0,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Support actions for protection of forestrial ecosystems, forest management, infrastructures for the development of forestry, research for implementaiton of measures in forests and continued projects.",Forestry,Green Fund (Πράσινο Ταμείο),,1,AXIS I - Protection of forestrial ecosystems,Prevention of forest fires and protection of non-public forests,0,YES,0,0,0,0,0,0,0,0,0,0,,https://prasinotameio.gr/wp-content/uploads/2023/02/%CE%94%CE%91%CE%A3%CE%97-2023.pdf,https://prasinotameio.gr/contact/,Not Available.,General description of priorities. The priorities are set and new projects are introduced the General Secretariat of Forests.,NA,0,0,0
CY_Revenues ETS,Go To CY_Revenues ETS,EU Emission Τrading System (EU ETS),https://www.eea.europa.eu/ims/use-of-auctioning-revenues-generated,EU-27,"Iceland, Liechtenstein and Norway",0,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,Mainly 100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The EU Emissions Trading System (EU ETS) is a ‘cap and trade’ system covering the power sector, energy-intensive industries and all airlines operating in Europe (European or not). The public authority sets a greenhouse gas (GHG) emission cap, and installations covered by the EU ETS use allowances to ensure that their carbon emissions comply with this cap. Allowances are either freely allocated or allocated through auctioning by the public authority. Revenues generated from auctioning EU ETS allowances are an increasing source of income for Member States. 

Member States must use at least 50% of auctioning revenues for climate- and energy-related purposes under National Grant Schemes, such as GHG emission mitigation; climate change adaptation; research and development projects; renewable energy development; transitioning to a low-carbon economy; preventing deforestation; and improving energy efficiency. ",0,"General Directorate of Development, Ministry of Finance",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.fundingprogrammesportal.gov.cy/en/program-major-category/national-grant-schemes/,https://www.fundingprogrammesportal.gov.cy/en/contact-us/ ,0,0,0,0,0,0
CY_THALIA,Go To CY_THALIA,THALIA 2021-2027,https://thalia.com.cy/,Cyprus,0,Cyprus,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,Mainly 100%,NOT SPECIFIED,0,YES,NOT SPECIFIED,0,0,National language,,"Programme “THALIA 2021-2027” constitutes a multi-annual, multi-fund development Programme outlining the development strategy for the utilization of the resources allocated to Cyprus through the Cohesion Policy Funds, for the period 2021-2027. The Programme aims to create a robust and competitive economy through smart, digital and green investments, under conditions of full employment and social cohesion. It also aligns the development priorities of Cyprus with the new priorities and the five EU Policy Objectives for the period 2021-2027. The policy interventions promoted, aim to strengthen the competitiveness of the economy, with a particular emphasis on the sectors of research and innovation, digitalization, entrepreneurship, energy, environment and local development. In addition, the Programme aims to support employment, education and social inclusion. The actions of the Programme include a combination of investments by the public and wider public sector, as well as Grant Schemes supporting citizens, enterprises and private sector entities.",A more Competitive and Smarter Europe,"General Directorate of Development, Ministry of Finance",,1,"P1: Competitive, Smart & Digital Economy",0,https://thalia.com.cy/en/programme-priorities-en/priority-1-competitive-smart-and-digital-economy-en/,0,Strenghtening Research and Innovation,0,Digitalization,0,Strenghtening competitiveness of Small and Medium-sized Enterprises (SMEs),0,0,0,0,0,,https://www.fundingprogrammesportal.gov.cy/en/programs/thalia-2021-2027/,https://www.fundingprogrammesportal.gov.cy/en/contact-us/ ,0,0,0,0,0,0
