Id,Signatory,Language,Order,Action_Id,Co_Benefit
72920,Autonomous Community of Galicia,en,1,1,Reduced GHG emissions
72920,Autonomous Community of Galicia,en,2,2,Increased/improved green space
72920,Autonomous Community of Galicia,en,2,2,Increased food security
72920,Autonomous Community of Galicia,en,2,2,Reduced costs
72920,Autonomous Community of Galicia,en,2,2,Reduced natural resource depletion
72920,Autonomous Community of Galicia,en,2,2,Job creation
72920,Autonomous Community of Galicia,en,2,2,Reduced GHG emissions
72920,Autonomous Community of Galicia,en,2,2,Protected/improved biodiversity and ecosystem services
72920,Autonomous Community of Galicia,en,3,3,"Reduced disruption of energy, transport, water or communications networks"
72920,Autonomous Community of Galicia,en,3,3,Reduced costs
72920,Autonomous Community of Galicia,en,4,4,Improved water/soil quality
72920,Autonomous Community of Galicia,en,4,4,Increased food security
72920,Autonomous Community of Galicia,en,4,4,Improved waste management
72920,Autonomous Community of Galicia,en,4,4,Job creation
72920,Autonomous Community of Galicia,en,4,4,Increased water security
72920,Autonomous Community of Galicia,en,4,4,Improved air quality
72920,Autonomous Community of Galicia,en,4,4,Protected/improved biodiversity and ecosystem services
72920,Autonomous Community of Galicia,en,5,5,Improved water/soil quality
72920,Autonomous Community of Galicia,en,5,5,Increased/improved green space
72920,Autonomous Community of Galicia,en,5,5,Increased food security
72920,Autonomous Community of Galicia,en,5,5,Reduced natural resource depletion
72920,Autonomous Community of Galicia,en,5,5,Increased water security
72920,Autonomous Community of Galicia,en,5,5,Protected/improved biodiversity and ecosystem services
72920,Autonomous Community of Galicia,en,6,6,Improved water/soil quality
72920,Autonomous Community of Galicia,en,6,6,Increased/improved green space
72920,Autonomous Community of Galicia,en,6,6,Improved air quality
72920,Autonomous Community of Galicia,en,6,6,Protected/improved biodiversity and ecosystem services
72926,Autonomous Community of the Basque Country,en,1,1,Improved education and public awareness on climate issues
72926,Autonomous Community of the Basque Country,en,1,1,"Increased social inclusion, equality and justice"
72926,Autonomous Community of the Basque Country,en,1,1,Increased transparency and accountability
72926,Autonomous Community of the Basque Country,en,1,1,Increased energy security
72926,Autonomous Community of the Basque Country,en,2,2,"Other impacts from climate actions, please specify"
72926,Autonomous Community of the Basque Country,en,4,4,"Other impacts from climate actions, please specify"
72926,Autonomous Community of the Basque Country,en,5,5,Increased labor productivity
72926,Autonomous Community of the Basque Country,en,5,5,Increased security/protection for poor/vulnerable populations
72926,Autonomous Community of the Basque Country,en,5,5,"Increased social inclusion, equality and justice"
72926,Autonomous Community of the Basque Country,en,5,5,Improved education and public awareness on climate issues
72926,Autonomous Community of the Basque Country,en,5,5,Business/technological innovation
72926,Autonomous Community of the Basque Country,en,5,5,Increased/improved green space
72926,Autonomous Community of the Basque Country,en,5,5,Improved mental wellbeing/quality of life
72926,Autonomous Community of the Basque Country,en,5,5,Improved waste management
72926,Autonomous Community of the Basque Country,en,5,5,Reduced GHG emissions
72926,Autonomous Community of the Basque Country,en,5,5,Revenue generation
72926,Autonomous Community of the Basque Country,en,5,5,Protected/improved biodiversity and ecosystem services
72926,Autonomous Community of the Basque Country,en,5,5,Reduced health impacts from extreme heat or cold weather
72926,Autonomous Community of the Basque Country,en,5,5,"Reduced disruption of energy, transport, water or communications networks"
72926,Autonomous Community of the Basque Country,en,5,5,Increased economic production
72926,Autonomous Community of the Basque Country,en,5,5,Reduced fuel/energy poverty
72926,Autonomous Community of the Basque Country,en,5,5,Improved water/soil quality
72926,Autonomous Community of the Basque Country,en,5,5,Improved physical health
72926,Autonomous Community of the Basque Country,en,5,5,Reduced natural resource depletion
72926,Autonomous Community of the Basque Country,en,5,5,Reduced costs
72926,Autonomous Community of the Basque Country,en,5,5,Increased transparency and accountability
72926,Autonomous Community of the Basque Country,en,5,5,Job creation
72926,Autonomous Community of the Basque Country,en,5,5,Reduced disaster/disease/contamination-related health impacts
72926,Autonomous Community of the Basque Country,en,5,5,Improved labor conditions
72926,Autonomous Community of the Basque Country,en,5,5,Improved preparedness for health service delivery
72926,Autonomous Community of the Basque Country,en,5,5,Increased energy security
72926,Autonomous Community of the Basque Country,en,5,5,Improved air quality
72926,Autonomous Community of the Basque Country,en,6,6,Improved physical health
72926,Autonomous Community of the Basque Country,en,6,6,Reduced costs
72926,Autonomous Community of the Basque Country,en,6,6,Job creation
72926,Autonomous Community of the Basque Country,en,6,6,Reduced disaster/disease/contamination-related health impacts
72926,Autonomous Community of the Basque Country,en,6,6,Protected/improved biodiversity and ecosystem services
72926,Autonomous Community of the Basque Country,en,7,7,Improved education and public awareness on climate issues
72926,Autonomous Community of the Basque Country,en,7,7,Improved water/soil quality
72926,Autonomous Community of the Basque Country,en,7,7,Improved physical health
72926,Autonomous Community of the Basque Country,en,7,7,Reduced natural resource depletion
72926,Autonomous Community of the Basque Country,en,7,7,Increased/improved green space
72926,Autonomous Community of the Basque Country,en,7,7,Improved mental wellbeing/quality of life
72926,Autonomous Community of the Basque Country,en,7,7,Improved air quality
72926,Autonomous Community of the Basque Country,en,7,7,Protected/improved biodiversity and ecosystem services
72926,Autonomous Community of the Basque Country,en,8,8,Increased security/protection for poor/vulnerable populations
72926,Autonomous Community of the Basque Country,en,8,8,"Other impacts from climate actions, please specify"
72926,Autonomous Community of the Basque Country,en,9,9,Increased security/protection for poor/vulnerable populations
72926,Autonomous Community of the Basque Country,en,9,9,"Increased social inclusion, equality and justice"
72926,Autonomous Community of the Basque Country,en,9,9,Improved education and public awareness on climate issues
72926,Autonomous Community of the Basque Country,en,9,9,Business/technological innovation
72926,Autonomous Community of the Basque Country,en,9,9,Increased/improved green space
72926,Autonomous Community of the Basque Country,en,9,9,Improved mental wellbeing/quality of life
72926,Autonomous Community of the Basque Country,en,9,9,Improved waste management
72926,Autonomous Community of the Basque Country,en,9,9,Increased water security
72926,Autonomous Community of the Basque Country,en,9,9,Reduced GHG emissions
72926,Autonomous Community of the Basque Country,en,9,9,Revenue generation
72926,Autonomous Community of the Basque Country,en,9,9,Reduced health impacts from extreme heat or cold weather
72926,Autonomous Community of the Basque Country,en,9,9,Protected/improved biodiversity and ecosystem services
72926,Autonomous Community of the Basque Country,en,9,9,Improved road safety
72926,Autonomous Community of the Basque Country,en,9,9,Increased economic production
72926,Autonomous Community of the Basque Country,en,9,9,"Reduced disruption of energy, transport, water or communications networks"
72926,Autonomous Community of the Basque Country,en,9,9,Improved water/soil quality
72926,Autonomous Community of the Basque Country,en,9,9,Improved mobility and access
72926,Autonomous Community of the Basque Country,en,9,9,Improved physical health
72926,Autonomous Community of the Basque Country,en,9,9,Reduced natural resource depletion
72926,Autonomous Community of the Basque Country,en,9,9,Increased transparency and accountability
72926,Autonomous Community of the Basque Country,en,9,9,Job creation
72926,Autonomous Community of the Basque Country,en,9,9,Reduced disaster/disease/contamination-related health impacts
72926,Autonomous Community of the Basque Country,en,9,9,Improved labor conditions
72926,Autonomous Community of the Basque Country,en,9,9,Improved preparedness for health service delivery
72926,Autonomous Community of the Basque Country,en,9,9,Increased energy security
72926,Autonomous Community of the Basque Country,en,9,9,Improved air quality
72926,Autonomous Community of the Basque Country,en,9,9,Reduced congestion
72926,Autonomous Community of the Basque Country,en,10,10,Improved water/soil quality
72926,Autonomous Community of the Basque Country,en,10,10,Improved physical health
72926,Autonomous Community of the Basque Country,en,10,10,Reduced natural resource depletion
72926,Autonomous Community of the Basque Country,en,10,10,Improved mental wellbeing/quality of life
72926,Autonomous Community of the Basque Country,en,10,10,Increased/improved green space
72926,Autonomous Community of the Basque Country,en,10,10,Improved air quality
72926,Autonomous Community of the Basque Country,en,10,10,Protected/improved biodiversity and ecosystem services
73075,Brittany Region,en,1,1,Increased food security
73075,Brittany Region,en,1,1,Reduced costs
73075,Brittany Region,en,1,1,Increased water security
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Reduced health costs
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Increased security/protection for poor/vulnerable populations
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Improved water/soil quality
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Increased/improved green space
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Improved mental wellbeing/quality of life
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Reduced natural resource depletion
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Increased food security
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Reduced disaster/disease/contamination-related health impacts
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Increased water security
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Improved air quality
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Reduced premature deaths
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Revenue generation
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Protected/improved biodiversity and ecosystem services
31175,City of Paris,en,16,16,"Reduced disruption of energy, transport, water or communications networks"
31175,City of Paris,en,16,16,Improved education and public awareness on climate issues
31175,City of Paris,en,16,16,Reduced disaster/disease/contamination-related health impacts
31175,City of Paris,en,17,17,Increased security/protection for poor/vulnerable populations
31175,City of Paris,en,17,17,"Increased social inclusion, equality and justice"
31175,City of Paris,en,17,17,Improved education and public awareness on climate issues
31175,City of Paris,en,18,18,Job creation
31175,City of Paris,en,18,18,Improved labor conditions
31175,City of Paris,en,18,18,Reduced GHG emissions
31175,City of Paris,en,19,19,Increased/improved green space
31175,City of Paris,en,19,19,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,20,20,"Reduced disruption of energy, transport, water or communications networks"
31175,City of Paris,en,20,20,Improved water/soil quality
31175,City of Paris,en,20,20,Increased/improved green space
31175,City of Paris,en,21,21,Improved water/soil quality
31175,City of Paris,en,21,21,Increased/improved green space
31175,City of Paris,en,22,22,Improved water/soil quality
31175,City of Paris,en,22,22,Increased/improved green space
31175,City of Paris,en,22,22,Improved mental wellbeing/quality of life
31175,City of Paris,en,22,22,Protected/improved biodiversity and ecosystem services
31175,City of Paris,en,23,23,Improved water/soil quality
31175,City of Paris,en,23,23,Increased/improved green space
31175,City of Paris,en,23,23,Protected/improved biodiversity and ecosystem services
31175,City of Paris,en,24,24,Improved water/soil quality
31175,City of Paris,en,24,24,Increased/improved green space
31175,City of Paris,en,24,24,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,25,25,Increased/improved green space
31175,City of Paris,en,25,25,Reduced GHG emissions
31175,City of Paris,en,26,26,Job creation
31175,City of Paris,en,27,27,Improved water/soil quality
31175,City of Paris,en,27,27,Increased/improved green space
31175,City of Paris,en,27,27,Increased water security
31175,City of Paris,en,27,27,Protected/improved biodiversity and ecosystem services
31175,City of Paris,en,28,28,Increased transparency and accountability
31175,City of Paris,en,28,28,Reduced health impacts from extreme heat or cold weather
46514,City of Porto,en,1,1,"Reduced disruption of energy, transport, water or communications networks"
46514,City of Porto,en,1,1,Reduced health costs
46514,City of Porto,en,1,1,Improved mobility and access
46514,City of Porto,en,1,1,Reduced natural resource depletion
46514,City of Porto,en,1,1,Fewer or no households and businesses forced from homes/places of work
46514,City of Porto,en,1,1,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,2,2,"Reduced disruption of energy, transport, water or communications networks"
46514,City of Porto,en,2,2,Fewer or no households and businesses forced from homes/places of work
46514,City of Porto,en,2,2,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,3,3,Improved water/soil quality
46514,City of Porto,en,3,3,Reduced natural resource depletion
46514,City of Porto,en,3,3,Improved mental wellbeing/quality of life
46514,City of Porto,en,3,3,Increased/improved green space
46514,City of Porto,en,3,3,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,4,4,Reduced health impacts from extreme heat or cold weather
46514,City of Porto,en,4,4,Improved water/soil quality
46514,City of Porto,en,4,4,Increased/improved green space
46514,City of Porto,en,4,4,Improved mental wellbeing/quality of life
46514,City of Porto,en,4,4,Improved air quality
46514,City of Porto,en,4,4,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,5,5,Reduced health impacts from extreme heat or cold weather
46514,City of Porto,en,5,5,Improved water/soil quality
46514,City of Porto,en,5,5,Increased/improved green space
46514,City of Porto,en,5,5,Improved mental wellbeing/quality of life
46514,City of Porto,en,5,5,Improved air quality
46514,City of Porto,en,5,5,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,6,6,"Reduced disruption of energy, transport, water or communications networks"
46514,City of Porto,en,6,6,Increased security/protection for poor/vulnerable populations
46514,City of Porto,en,6,6,Improved water/soil quality
46514,City of Porto,en,6,6,Reduced natural resource depletion
46514,City of Porto,en,6,6,Increased water security
46514,City of Porto,en,6,6,Fewer or no households and businesses forced from homes/places of work
46514,City of Porto,en,7,7,Increased economic production
46514,City of Porto,en,7,7,Improved water/soil quality
46514,City of Porto,en,7,7,Reduced natural resource depletion
46514,City of Porto,en,7,7,Reduced costs
46514,City of Porto,en,7,7,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,8,8,Reduced fuel/energy poverty
46514,City of Porto,en,8,8,Reduced natural resource depletion
46514,City of Porto,en,8,8,Improved mental wellbeing/quality of life
46514,City of Porto,en,8,8,Increased/improved green space
46514,City of Porto,en,8,8,Increased energy security
46514,City of Porto,en,8,8,Increased access to energy
46514,City of Porto,en,8,8,Improved air quality
46514,City of Porto,en,8,8,Reduced GHG emissions
46514,City of Porto,en,8,8,Protected/improved biodiversity and ecosystem services
46514,City of Porto,en,9,9,Reduced health impacts from extreme heat or cold weather
46514,City of Porto,en,9,9,Reduced fuel/energy poverty
46514,City of Porto,en,9,9,Business/technological innovation
46514,City of Porto,en,9,9,Increased/improved green space
46514,City of Porto,en,9,9,Improved mental wellbeing/quality of life
46514,City of Porto,en,9,9,Reduced natural resource depletion
46514,City of Porto,en,9,9,Increased energy security
46514,City of Porto,en,9,9,Improved air quality
46514,City of Porto,en,9,9,Increased access to energy
46514,City of Porto,en,9,9,Reduced GHG emissions
