Id,Language,Signatory,Adaptation_Goal_Id,Title,More_Details_Label,Climate_Hazards_Addressed_Label,Description_Label,Description,Comments_Label,Comments,Order,Climate_Action_Title,Climate_Action_Abstract
60125,en,Klaipėda City Municipality,Adaptation goal 3,"Installation of public cooling centers, providing 24/7 cooling. Installation of public water misting systems and/or cooling towers and/or mobile misting systems.",More details,Climate hazards addressed,Description of metric/indicator used to track goal,as needed,Comments,-,3,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 5,Increase in the quantity and quality of green areas,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: The ratio of green space to the total urban area\nUnit: % \n- Indicator: Number of green corridor/street arrangements\nUnit: number\n- Indicator: Amount of green space per person\nUnit: m2/year,Comments,"Green areas enhance carbon absorption, serving as a natural filter to absorb greenhouse gases in the atmosphere and thereby contributing to the fight against climate change. Green spaces also play a role in preventing erosion, conserving water resources, and supporting biodiversity. Therefore, increasing green areas in urban planning and overall environmental policies should be considered a significant strategy in combating climate change.",5,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 6,Reduction of the urban heat island effect in urban areas,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Percentage of asphalt surface in urban centers\nUnit: yearly %\n- Indicator: Permeable surface ratio\nUnit: % \n- Indicator: Number of green certified buildings\nUnit: number/year\n- Indicator: Number of trees planted in the urban area\nUnit: number\n- Indicator: Size of green area integrated with bicycle paths\nUnit: m2/year \n- Indicator: Number of pilot projects\nUnit: number/year\n- Indicator: Size of sample working area\nUnit: hectar\n- Indicator: Number of buildings with green roofs and green facades\nUnit: number\n- Indicator: Amount of funding allocated/created for the pilot project\nUnit: €,Comments,"Shading provided by trees and plants helps prevent the urban heat island effect, maintaining local temperature balance. Green spaces not only contribute to environmental sustainability but also enhance people's quality of life, creating healthy and resilient communities.",6,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 5,Purchase at least one more vehicle for wet street cleaning.,More details,Climate hazards addressed,Description of metric/indicator used to track goal,1,Comments,-,5,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 6,"Promote individuals' vaccination against tick-borne encephalitis, offering the possibility to get vaccinated with the first dose of the vaccine.",More details,Climate hazards addressed,Description of metric/indicator used to track goal,20000 eur,Comments,-,6,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 7,Removal of helophytes from surface water bodies.,More details,Climate hazards addressed,Description of metric/indicator used to track goal,as needed,Comments,-,7,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 7,Building resilience against climatic disasters,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"- Indicator: Existence and number of risk maps\nUnit: yes/no, number\n- Indicator: Existence of climate-resilient urban design guide\nUnit:yes/no\n- Indicator: Number of transformation and improvement projects\nUnit: number\n- Indicator: Size of the transformation area\nUnit: hectar\n- Indicator: Existence of implementation guide\nUnit: yes/no\n- Indicator: Existence of prioritization (short-medium-long term)\nUnit: yes/no \n- Indicator: Number of urban planning revisions\nUnit: number\n- Indicator: Size of the area revised\nUnit: hectar\n- Indicator: Size of protected agricultural and pasture area\nUnit: hectar\n- Indicator: Occupancy rate of developable areas\nUnit: % \n- Indicator: Integrating climatic disasters into existing disaster plans\nUnit: yes/no\n- Indicator: Evacuation routes\nUnit: yes/no\n- Indicator: Early warning and information systems\nUnit: yes/no\n- Indicator: Smart city application for climate hazards\nUnit: yes/no \n- Indicator: Training guide\nUnit: yes/no\n- Indicator: Number of awareness-raising meetings/sessions with key decision-makers and politicians\nUnit: number/year\n- Indicator: Number of capacity-building training events conducted with implementers\nUnit: number/year\n- Indicator: Number of capacity-building actions for members of the Disaster Risk Reduction Platform within the governorship\nUnit: number /year\n- Indicator: Number of participants\nUnit: number \n- Indicator: Number of training and drills\nUnit: number /year \n- Indicator: Planning and design study\nUnit: number\n- Indicator: Number of infrastructure interventions carried out\nUnit: number\n- Indicator: Number of flood pumps installed for inundation exits\nUnit: number",Comments,"The significance of disaster management lies in ensuring that cities are prepared for climate-related disasters. Preemptive risk analyses, disaster scenarios, and emergency plans provide a framework for addressing potential risks that urban areas may encounter, supporting effective disaster management.",7,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 9,Overview of Existing Disease Agent Monitoring Measures in Water Bodies,More details,Climate hazards addressed,Description of metric/indicator used to track goal,as needed,Comments,-,9,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 10,"Conduct an inventory of the most sensitive municipal buildings (schools, healthcare facilities, nursing homes, kindergartens), identifying whether they have cooling systems, and develop a priority list of buildings where cooling systems need to be installed.",More details,Climate hazards addressed,Description of metric/indicator used to track goal,as needed,Comments,-,10,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 8,Increasing society's resilience to disasters,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"- Indicator: Study conducted to identify vulnerable groups\nUnit: yes/no \n- Indicator: Number of public areas designated as climate shelters\nUnit: number\n- Indicator: Citizen information platform\nUnit: yes/no \n- Indicator: Hail protection measures\nUnit: number\n- Indicator: Type and number of actions\nUnit: number\n- Indicator: Size of protected areas\nUnit: hectar\n- Indicator: Number of protected workplaces\nUnit: number\n- Indicator: Guidance on resilience and business continuity\nUnit: yes/no\n- Indicator: Types of commercial businesses and professional organizations, and the number of meetings\nUnit: number/year\n- Indicator: Number of trainings\nUnit: number/year",Comments,"The training of emergency teams and local communities is crucial for ensuring effective intervention during disasters. Taking steps such as strengthening infrastructure, implementing flood management systems, increasing green spaces, and transitioning to sustainable energy sources can help cities build resilience against climate-related disasters. These strategies are of great importance in minimizing the impacts of climate change-related disasters in urban areas, ensuring public safety, and promoting the sustainability of cities.",8,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 9,Protection of public health against climate change hazards,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Alarm status and staging form\nUnit: number/year\n- Indicator: Number of warning stations\nUnit: number\n- Indicator: Number of applications made to healthcare institutions related to warnings\nUnit: number/year \n- Indicator: The carried out work\nUnit: number/year \n- Indicator: Number of implementations\nUnit: number/year\n- Indicator: Vector-borne disease control guide\nUnit: yes/no,Comments,"Factors caused by climate change, such as rising temperatures, air pollution, decreasing water resources, and widespread natural disasters, pose threats to public health. Therefore, identifying emergency situations for the city, preventing epidemic diseases related to vector breeding, raising awareness among the public about climate change, and fostering participation in adaptation strategies are crucial for preserving the health of the community. These measures will help minimize the impact of climate change on health, contributing to healthier and more sustainable futures for communities.",9,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 10,"Increasing the resilience of the industrial sector against climatic disasters, especially drought",More details,Climate hazards addressed,Description of metric/indicator used to track goal,"- Indicator: Annual sectoral water allocation\nUnit: m3 \n- Indicator: Ratio of annual recycled water amount in industrial establishments to the total water usage amount\nUnit: % \n- Indicator: Number of organizations conducting climate adaptation planning\nUnit: number \n- Indicator: Number of businesses where monitoring studies related to surface and groundwater use at the provincial level\nUnit: number\n- Indicator: The ratio of recycled waters in the industrial, energy, and mining sectors at the provincial level to the total water usage\nUnit: % \n- Indicator: Ratio of the number of facilities with risk assessments to the total number of facilities\nUnit: %",Comments,"The industrial production has a significant share in Eskişehir's GDP. Therefore, the industrial sector should take urgent measures to enhance its resilience against the challenges posed by climate change. While the powers of Eskişehir Metropolitan Municipality in this regard may be limited, collaboration with various public institutions and industrial zones to improve water efficiency and adopt sustainable water management practices is essential. This collaboration can particularly encourage applications aimed at preserving water resources, especially during periods of drought.",10,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 11,Reducing resource use of tourism facilities and increasing resilience to climate hazards,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Number of certifications\nUnit: number/year\n- Indicator: Number of green-starred hotels\nUnit: number/year\n- Indicator: Ratio of the number of green-starred hotels to the total number of hotels\nUnit: % \n- Indicator: Number of cultural heritage sites\nUnit: number\n- Indicator: Total number of cultural assets inventoried\nUnit: number \n- Indicator: The number of collaboration studies\nUnit: number \n- Indicator: The number of events where environmental awareness is emphasized in their promotions\nUnit: number/year \n- Indicator: The number of types of promotional materials created annually related to sustainable tourism practices\nUnit: number\n- Indicator: The number of guides who have received training on the subject\nUnit: number\n- Indicator: Number of informed tourists\nUnit: number,Comments,"Eskişehir, with its rich history, cultural heritage, and natural beauty, stands as one of Türkiye's prominent tourist destinations. However, to cope with the impacts of climate change, the city should adopt sustainable tourism strategies. In this regard, various measures can be taken, such as assessing the vulnerability of tourism and cultural heritage to climate change, implementing sustainable practices in tourism facilities, limiting natural resource usage, and conducting initiatives to enhance tourists' environmental awareness. These practices can not only preserve Eskişehir's tourism potential but also contribute to building resilience against climate change.",11,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 12,"Providing administrative structure and technical tools to ensure the implementation and monitoring of mitigation, adaptation and energy poverty actions",More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Existence of a management plan\nUnit: yes/no \n- Indicator: Existence of a monitoring tool\nUnit: yes/no\n,Comments,"The effective implementation of sustainable energy and climate action plans requires coordination and strong administrative organization. This involves strong collaboration and communication among various sectors, local governments, the private sector, and civil society organizations.",12,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31163,en,Istanbul Metropolitan Municipality,Adaptation goal 9,Prevention of food wastes and using renewable energy sources,More details,Climate hazards addressed,Description of metric/indicator used to track goal,amount of food waste prevented from being waste,Comments,"The main adaptation targets include; low-calorie menu planning and avoiding waste in orders, approaching the zero-waste principle, increasing energy efficiency, using renewable energy sources and strengthening staff awareness activities. \n\nTo achieve these goals, IMM aims to increase waste separation and recycling rates, expand energy efficiency practices in buildings, install solar energy systems and train all employees of the Operations Directorate on sustainability. Thanks to these ongoing adaptation actions, our institution both achieves its environmental sustainability goals and increases its economic efficiency. \n",1,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 12,Implement a pilot project for a sustainable drainage system in Klaipėda.,More details,Climate hazards addressed,Description of metric/indicator used to track goal,1,Comments,-,12,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 13,"When preparing new territorial planning documents or amending/adjusting existing documents, and when preparing construction projects, include the requirement to plan, design, and implement sustainable wastewater collection and treatment systems in new development projects, prioritizing areas and measures based on the assessment results.\n\n",More details,Climate hazards addressed,Description of metric/indicator used to track goal,as needed,Comments,-,13,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31163,en,Istanbul Metropolitan Municipality,Adaptation goal 8,"Preparing and implementing some plans by ISKI (Istanbul Water and Sewerage Administration) regarding floods/overflows/heavy precipitation and improving water reuse, water quality and water storage",More details,Climate hazards addressed,Description of metric/indicator used to track goal,number of prepared and implemented plans,Comments,"İSKİ adopts the following adaptation targets.• Preparing regional flood/overflow plans and integrating them into provincial disaster plans,• Accelerating efforts to improve water quality, which is deteriorated due to the negative effects of climate change,• Developing the legislation related to water and the integration of climate change adaptation into this legislation,• Preparation of basin strategy master plan and river basin management plans within the scope of development, multi-purpose use and protection of all ground and surface water resources,• Developing early warning systems in the fight against floods and updating the current flood risk maps in all basins,• Preparing disaster, hazard and risk maps such as floods, landslides, which will form a basis for risk management processes, and integrating them with land use plans,• Pricing of water on the basis of volume for the protection and effective use of water resources,• Implementation of applications for the collection, recycling and evaluation of rain water in settlements and buildings,• Making the construction of urban waste water and rainwater storage areas mandatory and renewing the site selection criteria,• Preventing the illegal use of groundwater in the basins and raising public awareness on this issue,• Integrated water management and planning in settlements,• Separation of sewerage and rainwater collection systems in settlements,• Reuse of water collected and treated in settlements,• Developing a pricing policy and making legal arrangements, taking into account socio-economic conditions, in order to increase the efficiency of water use in cities,• Detection of water leaks and illegal water use in cities and taking measures to reduce the rate of loss and leakage, dissemination of the SCADA system at the national level,• It is aimed to ensure that the mains water (tap water) is delivered to the consumers in potable quality.",2,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31163,en,Istanbul Metropolitan Municipality,Adaptation goal 2,Tree planting in public spaces,More details,Climate hazards addressed,Description of metric/indicator used to track goal,Number of Planted and Growing TreesEmission MeasurementsRegular Activity ReportHeat MapAmount of AfforestationNumber of Persons Applying to the Hospital due to Extreme HeatAmount of Green Space in Places that People Can Reach byWalking,Comments,"Planting drought-resistant and shade trees on the roofs of squares and parking lots, and increasing urban green spaces.",3,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31163,en,Istanbul Metropolitan Municipality,Adaptation goal 7,Raising public awareness on vectors,More details,Climate hazards addressed,Description of metric/indicator used to track goal,number of awareness/training activities,Comments,"In terms of Health Sector, the “Health and Hygiene Directorate” of Istanbul Metropolitan Municipality has determined the following main adaptation goals;\n• To make the public aware of the risks to combat vectors,\n• To inform about their reproductions and habitats,\n• To provide training on vectors and ways of protection from the diseases they carry and the precautions to be taken.",4,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31163,en,Istanbul Metropolitan Municipality,Adaptation goal 5,Improve road drainage and keep drains clear,More details,Climate hazards addressed,Description of metric/indicator used to track goal,Measurement of FloodsNumber of Drainage and Functions of InspectionNumber of Harmful/Damaged Incident Tracking and Reporting,Comments,"Rehabilitation of roads to prevent puddles; Reducing the risk of flash floods by making the surfaces in accordance with the \'Permeable Concrete Technical Specification\'; Selection of materials that will provide water absorption in the road pavement, Increasing the quality of the patches on the roads. Intensification of precipitation will increase floods and overflows that damage roads in the city. Strengthening the rain drainage network in accordance with these expected changes in precipitation will reduce physical damage.",5,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
