Id,Signatory,Adaptation_GoalId,Climate_Hazard,Language
31185,City of Warsaw,Adaptation goal 5,Heat stress,en
31185,City of Warsaw,Adaptation goal 5,Extreme heat,en
31009,Copenhagen Municipality,Adaptation goal 1,Storm,en
31009,Copenhagen Municipality,Adaptation goal 1,Coastal flooding (incl. sea level rise),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 1,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 2,Drought,en
60125,Klaipėda City Municipality,Adaptation goal 2,Heat stress,en
60125,Klaipėda City Municipality,Adaptation goal 2,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 3,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 4,Drought,en
60125,Klaipėda City Municipality,Adaptation goal 3,Heat stress,en
60125,Klaipėda City Municipality,Adaptation goal 3,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 5,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 6,Extreme heat,en
60125,Klaipėda City Municipality,Adaptation goal 5,Heat stress,en
60125,Klaipėda City Municipality,Adaptation goal 5,Extreme heat,en
60125,Klaipėda City Municipality,Adaptation goal 6,Infectious disease,en
60125,Klaipėda City Municipality,Adaptation goal 7,River flooding,en
60125,Klaipėda City Municipality,Adaptation goal 7,Water stress,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 7,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 7,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 7,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 7,Extreme heat,en
60125,Klaipėda City Municipality,Adaptation goal 9,Biodiversity loss,en
60125,Klaipėda City Municipality,Adaptation goal 9,Infectious disease,en
60125,Klaipėda City Municipality,Adaptation goal 10,Heat stress,en
60125,Klaipėda City Municipality,Adaptation goal 10,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 8,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 9,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 9,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 9,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 9,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 9,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 10,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 10,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 10,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 10,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 10,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 11,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 11,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 11,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 11,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 11,Drought,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,Storm,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,Fire weather (risk of wildfires),en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,River flooding,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,Heavy precipitation,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,Extreme heat,en
62868,Eskişehir Metropolitan Municipality,Adaptation goal 12,Drought,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 9,"Other, please specify",en
60125,Klaipėda City Municipality,Adaptation goal 12,Soil degradation/erosion,en
60125,Klaipėda City Municipality,Adaptation goal 12,Urban flooding,en
60125,Klaipėda City Municipality,Adaptation goal 12,River flooding,en
60125,Klaipėda City Municipality,Adaptation goal 12,Other forms of climate-induced landscape shift/degradation,en
60125,Klaipėda City Municipality,Adaptation goal 12,Heavy precipitation,en
60125,Klaipėda City Municipality,Adaptation goal 13,Soil degradation/erosion,en
60125,Klaipėda City Municipality,Adaptation goal 13,Urban flooding,en
60125,Klaipėda City Municipality,Adaptation goal 13,Other forms of climate-induced landscape shift/degradation,en
60125,Klaipėda City Municipality,Adaptation goal 13,Heavy precipitation,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Soil degradation/erosion,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Urban flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Coastal flooding (incl. sea level rise),en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Mass movement,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,River flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Water stress,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Heavy precipitation,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Increased water demand,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 8,Drought,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Biodiversity loss,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Soil degradation/erosion,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Urban flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Coastal flooding (incl. sea level rise),en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Mass movement,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Heavy precipitation,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Loss of green space/green cover,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 2,Extreme heat,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 7,Infectious disease,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,Soil degradation/erosion,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,Urban flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,Coastal flooding (incl. sea level rise),en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,River flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,Mass movement,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 5,Heavy precipitation,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Biodiversity loss,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Soil degradation/erosion,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Urban flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Coastal flooding (incl. sea level rise),en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Mass movement,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,River flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Water stress,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Heavy precipitation,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Increased water demand,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Loss of green space/green cover,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 4,Drought,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Biodiversity loss,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Urban flooding,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Mass movement,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Heat stress,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Loss of green space/green cover,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 6,Extreme heat,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 1,Water stress,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 1,Increased water demand,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 1,Drought,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 3,Heat stress,en
31163,Istanbul Metropolitan Municipality,Adaptation goal 3,Extreme heat,en
60125,Klaipėda City Municipality,Adaptation goal 1,Heat stress,en
60125,Klaipėda City Municipality,Adaptation goal 1,Extreme heat,en
831674,Municipality of Amarante,Adaptation goal 6,"Other, please specify",en
831674,Municipality of Amarante,Adaptation goal 2,Urban flooding,en
831674,Municipality of Amarante,Adaptation goal 2,Fire weather (risk of wildfires),en
831674,Municipality of Amarante,Adaptation goal 2,River flooding,en
831674,Municipality of Amarante,Adaptation goal 2,Mass movement,en
831674,Municipality of Amarante,Adaptation goal 2,Snow and ice,en
831674,Municipality of Amarante,Adaptation goal 2,Heavy precipitation,en
831674,Municipality of Amarante,Adaptation goal 2,Extreme heat,en
831674,Municipality of Amarante,Adaptation goal 1,Biodiversity loss,en
831674,Municipality of Amarante,Adaptation goal 1,Urban flooding,en
831674,Municipality of Amarante,Adaptation goal 1,Fire weather (risk of wildfires),en
831674,Municipality of Amarante,Adaptation goal 1,Heavy precipitation,en
831674,Municipality of Amarante,Adaptation goal 1,Extreme wind,en
831674,Municipality of Amarante,Adaptation goal 1,Extreme heat,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Soil degradation/erosion,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Urban flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Fire weather (risk of wildfires),en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Mass movement,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Heavy precipitation,en
826425,Municipality of Caldas da Rainha,Adaptation goal 5,Increased water demand,en
831674,Municipality of Amarante,Adaptation goal 3,Biodiversity loss,en
831674,Municipality of Amarante,Adaptation goal 3,Soil degradation/erosion,en
831674,Municipality of Amarante,Adaptation goal 3,Fire weather (risk of wildfires),en
831674,Municipality of Amarante,Adaptation goal 3,Urban flooding,en
831674,Municipality of Amarante,Adaptation goal 3,River flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Soil degradation/erosion,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Fire weather (risk of wildfires),en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Urban flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Mass movement,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Heavy precipitation,en
826425,Municipality of Caldas da Rainha,Adaptation goal 4,Increased water demand,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Soil degradation/erosion,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Urban flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Fire weather (risk of wildfires),en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Mass movement,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Heavy precipitation,en
826425,Municipality of Caldas da Rainha,Adaptation goal 2,Increased water demand,en
831674,Municipality of Amarante,Adaptation goal 5,Biodiversity loss,en
831674,Municipality of Amarante,Adaptation goal 5,Urban flooding,en
831674,Municipality of Amarante,Adaptation goal 5,Fire weather (risk of wildfires),en
831674,Municipality of Amarante,Adaptation goal 5,Coastal flooding (incl. sea level rise),en
831674,Municipality of Amarante,Adaptation goal 5,Water stress,en
831674,Municipality of Amarante,Adaptation goal 5,Heavy precipitation,en
831674,Municipality of Amarante,Adaptation goal 5,Extreme heat,en
831674,Municipality of Amarante,Adaptation goal 4,Fire weather (risk of wildfires),en
831674,Municipality of Amarante,Adaptation goal 4,Urban flooding,en
831674,Municipality of Amarante,Adaptation goal 4,Water stress,en
831674,Municipality of Amarante,Adaptation goal 4,Snow and ice,en
831674,Municipality of Amarante,Adaptation goal 4,Heavy precipitation,en
831674,Municipality of Amarante,Adaptation goal 4,Extreme wind,en
831674,Municipality of Amarante,Adaptation goal 4,Extreme heat,en
831674,Municipality of Amarante,Adaptation goal 7,"Other, please specify",en
55334,Municipality of Braga,Adaptation goal 1,Extreme heat,en
55334,Municipality of Braga,Adaptation goal 2,Heat stress,en
55334,Municipality of Braga,Adaptation goal 2,Heavy precipitation,en
55334,Municipality of Braga,Adaptation goal 2,Extreme wind,en
55334,Municipality of Braga,Adaptation goal 2,Extreme heat,en
826425,Municipality of Caldas da Rainha,Adaptation goal 3,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 3,Increased water demand,en
55334,Municipality of Braga,Adaptation goal 3,Urban flooding,en
55334,Municipality of Braga,Adaptation goal 3,Fire weather (risk of wildfires),en
55334,Municipality of Braga,Adaptation goal 3,Extreme heat,en
55334,Municipality of Braga,Adaptation goal 4,Biodiversity loss,en
55334,Municipality of Braga,Adaptation goal 4,Infectious disease,en
55334,Municipality of Braga,Adaptation goal 4,Other forms of climate-induced landscape shift/degradation,en
50669,Municipality of Matosinhos,Adaptation goal 7,Biodiversity loss,en
50669,Municipality of Matosinhos,Adaptation goal 7,Mass movement,en
50669,Municipality of Matosinhos,Adaptation goal 7,Other forms of climate-induced landscape shift/degradation,en
50669,Municipality of Matosinhos,Adaptation goal 7,Loss of green space/green cover,en
55334,Municipality of Braga,Adaptation goal 5,Fire weather (risk of wildfires),en
55334,Municipality of Braga,Adaptation goal 5,Urban flooding,en
55334,Municipality of Braga,Adaptation goal 5,Mass movement,en
55334,Municipality of Braga,Adaptation goal 5,Water stress,en
55334,Municipality of Braga,Adaptation goal 5,Heat stress,en
55334,Municipality of Braga,Adaptation goal 5,Loss of green space/green cover,en
55334,Municipality of Braga,Adaptation goal 5,Extreme heat,en
55334,Municipality of Braga,Adaptation goal 6,Storm,en
55334,Municipality of Braga,Adaptation goal 6,Biodiversity loss,en
55334,Municipality of Braga,Adaptation goal 6,Fire weather (risk of wildfires),en
55334,Municipality of Braga,Adaptation goal 6,Urban flooding,en
55334,Municipality of Braga,Adaptation goal 6,Heat stress,en
55334,Municipality of Braga,Adaptation goal 6,Heavy precipitation,en
55334,Municipality of Braga,Adaptation goal 6,Extreme wind,en
55334,Municipality of Braga,Adaptation goal 6,Loss of green space/green cover,en
55334,Municipality of Braga,Adaptation goal 6,Extreme heat,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Soil degradation/erosion,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Fire weather (risk of wildfires),en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Urban flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Mass movement,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Heavy precipitation,en
826425,Municipality of Caldas da Rainha,Adaptation goal 1,Increased water demand,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Soil degradation/erosion,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Fire weather (risk of wildfires),en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Urban flooding,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Mass movement,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Water stress,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Heavy precipitation,en
826425,Municipality of Caldas da Rainha,Adaptation goal 6,Increased water demand,en
50680,Municipality of Cascais,Adaptation goal 1,Biodiversity loss,en
50680,Municipality of Cascais,Adaptation goal 1,Heat stress,en
50680,Municipality of Cascais,Adaptation goal 3,Drought,en
50680,Municipality of Cascais,Adaptation goal 13,Extreme cold,en
50680,Municipality of Cascais,Adaptation goal 13,Heavy precipitation,en
50680,Municipality of Cascais,Adaptation goal 13,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 13,Drought,en
50680,Municipality of Cascais,Adaptation goal 9,Fire weather (risk of wildfires),en
50680,Municipality of Cascais,Adaptation goal 9,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 10,Coastal flooding (incl. sea level rise),en
50680,Municipality of Cascais,Adaptation goal 4,Urban flooding,en
50680,Municipality of Cascais,Adaptation goal 4,Extreme cold,en
50680,Municipality of Cascais,Adaptation goal 4,River flooding,en
50680,Municipality of Cascais,Adaptation goal 4,Coastal flooding (incl. sea level rise),en
50680,Municipality of Cascais,Adaptation goal 4,Fire weather (risk of wildfires),en
50680,Municipality of Cascais,Adaptation goal 4,Oceanic events,en
50680,Municipality of Cascais,Adaptation goal 4,Infectious disease,en
50680,Municipality of Cascais,Adaptation goal 4,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 4,Drought,en
50680,Municipality of Cascais,Adaptation goal 2,Heavy precipitation,en
50680,Municipality of Cascais,Adaptation goal 12,Infectious disease,en
50680,Municipality of Cascais,Adaptation goal 6,Urban flooding,en
50680,Municipality of Cascais,Adaptation goal 6,River flooding,en
50680,Municipality of Cascais,Adaptation goal 6,Heavy precipitation,en
50680,Municipality of Cascais,Adaptation goal 11,Extreme cold,en
50680,Municipality of Cascais,Adaptation goal 11,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 5,Urban flooding,en
50680,Municipality of Cascais,Adaptation goal 5,Coastal flooding (incl. sea level rise),en
50680,Municipality of Cascais,Adaptation goal 5,River flooding,en
50680,Municipality of Cascais,Adaptation goal 5,Heavy precipitation,en
50680,Municipality of Cascais,Adaptation goal 7,Storm,en
50680,Municipality of Cascais,Adaptation goal 7,Soil degradation/erosion,en
50680,Municipality of Cascais,Adaptation goal 7,Fire weather (risk of wildfires),en
50680,Municipality of Cascais,Adaptation goal 7,Water stress,en
50680,Municipality of Cascais,Adaptation goal 7,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 1,Fire weather (risk of wildfires),en
50680,Municipality of Cascais,Adaptation goal 1,Coastal flooding (incl. sea level rise),en
50680,Municipality of Cascais,Adaptation goal 1,Extreme cold,en
50680,Municipality of Cascais,Adaptation goal 1,River flooding,en
50680,Municipality of Cascais,Adaptation goal 1,Infectious disease,en
50680,Municipality of Cascais,Adaptation goal 1,Extreme heat,en
50680,Municipality of Cascais,Adaptation goal 1,Drought,en
50680,Municipality of Cascais,Adaptation goal 8,Urban flooding,en
50680,Municipality of Cascais,Adaptation goal 8,Coastal flooding (incl. sea level rise),en
50680,Municipality of Cascais,Adaptation goal 8,River flooding,en
50680,Municipality of Cascais,Adaptation goal 8,Heavy precipitation,en
826429,Municipality of Figueira da Foz,Adaptation goal 1,"Other, please specify",en
826429,Municipality of Figueira da Foz,Adaptation goal 2,Loss of green space/green cover,en
826429,Municipality of Figueira da Foz,Adaptation goal 2,Water stress,en
826429,Municipality of Figueira da Foz,Adaptation goal 2,Extreme heat,en
826429,Municipality of Figueira da Foz,Adaptation goal 2,Drought,en
826429,Municipality of Figueira da Foz,Adaptation goal 3,Extreme heat,en
826429,Municipality of Figueira da Foz,Adaptation goal 4,"Other, please specify",en
826429,Municipality of Figueira da Foz,Adaptation goal 5,"Other, please specify",en
50669,Municipality of Matosinhos,Adaptation goal 8,Biodiversity loss,en
50669,Municipality of Matosinhos,Adaptation goal 8,Other forms of climate-induced landscape shift/degradation,en
50669,Municipality of Matosinhos,Adaptation goal 8,Loss of green space/green cover,en
55324,Municipality of Guimarães,Adaptation goal 1,Biodiversity loss,en
55324,Municipality of Guimarães,Adaptation goal 1,Storm,en
55324,Municipality of Guimarães,Adaptation goal 1,Urban flooding,en
55324,Municipality of Guimarães,Adaptation goal 1,Fire weather (risk of wildfires),en
55324,Municipality of Guimarães,Adaptation goal 1,River flooding,en
55324,Municipality of Guimarães,Adaptation goal 1,Mass movement,en
55324,Municipality of Guimarães,Adaptation goal 1,Heavy precipitation,en
55324,Municipality of Guimarães,Adaptation goal 1,Extreme wind,en
55324,Municipality of Guimarães,Adaptation goal 1,Extreme heat,en
55324,Municipality of Guimarães,Adaptation goal 1,Drought,en
55324,Municipality of Guimarães,Adaptation goal 5,Biodiversity loss,en
55324,Municipality of Guimarães,Adaptation goal 5,Soil degradation/erosion,en
55324,Municipality of Guimarães,Adaptation goal 5,Fire weather (risk of wildfires),en
55324,Municipality of Guimarães,Adaptation goal 5,Water stress,en
55324,Municipality of Guimarães,Adaptation goal 5,Heat stress,en
55324,Municipality of Guimarães,Adaptation goal 5,Increased water demand,en
55324,Municipality of Guimarães,Adaptation goal 5,Extreme heat,en
55324,Municipality of Guimarães,Adaptation goal 5,Drought,en
