Id,Language,Signatory,Climate_Action_Plan_Id,Type,Description,Approval_Year,End_Year,Name_Of_Plan_And_Hyperlink,Attachment,Order,Sectors_Introduction,Year_Of_Approval_Label,End_Year_Of_Plan_Label,Further_Information_Link_Text,Explore_Plan_Link_Text
73075,en,Brittany Region,1,Integrated climate plan (addressing mitigation and energy),NULL,2018,NULL,https://www.bretagne.bzh/app/uploads/OBJECTIFS2024.pdf \n\nObjective 23 et 27,"SRADDET 2030 - RAPPORT OBJECTIFS.pdf,SRADDET 2030 - RAPPORT OBJECTIFS.pdf",1,The Brittany Region possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Brittany Region's Integrated climate plan (addressing mitigation and energy),Explore Brittany Region's Climate Action Plan
73075,en,Brittany Region,2,Standalone adaptation plan,NULL,2019,NULL,https://www.bretagne.bzh/app/uploads/OBJECTIFS2024.pdf \n\nObjective 22,NULL,2,The Brittany Region possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Brittany Region's Standalone adaptation plan,Explore Brittany Region's Climate Action Plan
44076,en,Bursa Metropolitan Municipality,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,Year of formal approval of plan:,End year of plan:,NULL,Explore Bursa Metropolitan Municipality's Climate Action Plan
44076,en,Bursa Metropolitan Municipality,2,Integrated climate plan (addressing adaptation and energy),"The Bursa Sustainable Energy and Climate Adaptation Action Plan (BUSECAP) sets out a roadmap for mitigation of emissions from energy consumption in different sectors identified with the participation of urban stakeholders. The point of this origin of this plan is the city-scale greenhouse gas inventory, the bases of which are prepared by various institutions according to the future visions of the urban stakeholders and the future of the city, as well as the Metropolitan Municipality.BUSECAP has set out Bursa's BAU (Business as Usual) scenario using predictions from different institutions on population, sectoral growth and calculated 2030 emissions as approximately 10.9 million tons of CO2e. Unlike the reference year, the largest component of 2030 emissions is transportation (44%). It is expected that the category of residential and nonresidential buildings will be 36% and 16%, respectively.Turkey's urban growth rate, is similar to developing countries rather than industrialized countries in terms of quality and quantity. Since it is not possible to make reference to absolute emission reductions at these growth rates, it would be appropriate to express emission reduction targets as per-person emissions. According to the BAU scenario, per capita emissions increase from 2.48 tCO2e to 3.24 (31% increase).With the reduction measures put forward in every sector, Bursa can achieve its development by 2030 with 22% less greenhouse gas emissions, while per capita emissions can achieve a reduction of about 40% by 2030 compared to 2014. In this case, per capita emissions will be reduced by 40% to 1.56 tonnes of CO2/day, compared to 2014.Due to high population growth and high growth rates in the transport sector, absolute emissions may be reduced by only 28% compared to the base year of 2014, despite the proposed measures. Energy efficiency measures in various sectors and investments in renewable energies are estimated to reduce the possible emissions of 2030 to 5.9 million tonnes of CO2e.The per capita GHG emissions can be significantly reduced by the same reduction scenario, with a reduction of 54% according to the BAU scenario and a 40% reduction over the reference year 2014. On the contrary, the reduction scenario shows that despite high growth rates, Bursa can achieve growth by reducing its emissions, which should be regarded as a significant achievement.",2017,2030,Bursa Sustainable Energy and Climate Change Adaptation Plan 2017 (BUSECAP) https://www.bursa.bel.tr/dosyalar/birimek/bursa-sustainable-energy-and-climate-change-adaptation-plan-2017.pdf,NULL,2,The Bursa Metropolitan Municipality possesses an Integrated climate plan (addressing adaptation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Bursa Metropolitan Municipality's Integrated climate plan (addressing adaptation and energy),Explore Bursa Metropolitan Municipality's Climate Action Plan
54419,en,City and Metropolitan Municipality of Strasbourg,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","In order to propose the most appropriate strategies and action plans possible, Strasbourg metropolitan authority has carried out a number of vulnerability assessments and studied a number of socio-climatic scenarios. \nFor example, the local authority has been able to draw on a number of scenarios developed at national level, either directly by government institutions (National Climate Change Adaptation Plan, National Low Carbon Strategy) or by independent public bodies (Agence de l'Environnement et de la Maitrise de l'Energie, national meteorological agency Météo France), which provide a framework for the public policies that the local authority wishes to put in place in the future. These scenarios have been supplemented by those carried out internally by the local authority (identification of urban heat islands and the levers that can be used in the area, identification of areas at risk of flooding and muddy water flows, identification of cool areas, local changes in temperatures and rainfall in the area).\nAware of the importance of a just transition that takes into account the day-to-day reality of the region's stakeholders, the local authority has also taken an interest in the region's demographic, social and economic developments (historical and trend-based), in order to best design public climate policies. These assessments sometimes come from a national body (Institut National de la Statistique et des Etudes Economiques), but have often been carried out internally by departments, directly at local level.",2020,2026,https://www.strasbourg.eu/documents/976405/60056949/2021_09_Plan_Climat_Ville_Strasbourg_strategie_2030.pdf/8a7d6778-02fc-acd5-4eba-c624ecb33bf1?t=1631180008777,NULL,1,"The City and Metropolitan Municipality of Strasbourg possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City and Metropolitan Municipality of Strasbourg's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City and Metropolitan Municipality of Strasbourg's Climate Action Plan
54419,en,City and Metropolitan Municipality of Strasbourg,2,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Yes, the plan is based on research and recommendation to achieve staying below a +1.5°C scenario",2021,2030,https://www.strasbourg.eu/documents/976405/60056949/2021_09_Plan_Climat_Ville_Strasbourg_strategie_2030.pdf/8a7d6778-02fc-acd5-4eba-c624ecb33bf1?t=1631180008777,NULL,2,"The City and Metropolitan Municipality of Strasbourg possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City and Metropolitan Municipality of Strasbourg's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City and Metropolitan Municipality of Strasbourg's Climate Action Plan
36247,en,City of Arezzo,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Still working on climate related scenarios,2022,2030,SECAP AREZZO,NULL,1,"The City of Arezzo possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Arezzo's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Arezzo's Climate Action Plan
834069,en,City of Graz,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,Year of formal approval of plan:,End year of plan:,NULL,Explore City of Graz's Climate Action Plan
834069,en,City of Graz,2,Standalone adaptation plan,n/a,2018,2022,Klimawandelanpassung - Aktionsplan 2022,NULL,2,The City of Graz possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Graz's Standalone adaptation plan,Explore City of Graz's Climate Action Plan
834069,en,City of Graz,4,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Year of formal approval of plan:,End year of plan:,NULL,Explore City of Graz's Climate Action Plan
36159,en,City of Lisbon,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Climate-related scenarios were foreseen in the Municipal Strategy for Adaptation to Climate Change,2021,2030,Lisbon Climate Action Plan\nhttps://www.lisboa.pt/fileadmin/portal/temas/ambiente/documentos/Versao_preliminar_do_Relatorio_de_Consulta_Publica__do_Plano_de_Acao_Climatica_Lisboa_2030.pdf,LX_ContratoClimatico2030.pdf,1,"The City of Lisbon possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Lisbon's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Lisbon's Climate Action Plan
36159,en,City of Lisbon,3,Standalone adaptation plan,NULL,2017,NULL,\nhttps://www.lisboa.pt/fileadmin/portal/temas/ambiente/documentos/EMAAC_2017.pdf,ENG_Climate roadmap MalmÃ¶ 2030_CCC_Version_Submission.pdf,3,The City of Lisbon possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Lisbon's Standalone adaptation plan,Explore City of Lisbon's Climate Action Plan
36159,en,City of Lisbon,4,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Studies carried out within the scope of the Municipal Strategy for Adaptation to Climate Change and the study on the stormsurge phenomenon carried out by the Faculty of Sciences of the University of Lisbon/ Instituto D Luis.,2018,2030,https://www.lisboa.pt/fileadmin/portal/temas/ambiente/documentos/modelo_plano_acao_energias_sustentaveis_clima.pdf.pdf / Sustainable Energy and Climate Action Plan (SECAP),Energistrategi fÃ¶r MalmÃ¶ 2022-2030.pdf,4,"The City of Lisbon possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Lisbon's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Lisbon's Climate Action Plan
36159,en,City of Lisbon,5,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",The plan is informed by the Lisbon Climate Action Plan for 2030 and its respective precedents,2023,2030,Lisbon Climate City Contract 2030,Cloud burst plan for Malmo.pdf,5,"The City of Lisbon possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Lisbon's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Lisbon's Climate Action Plan
43940,en,City of Malmö,1,Integrated climate plan (addressing mitigation and energy),"The plan is aligned the environmental program in Malmö, and thus the 1.5°C goal, including a separate scenario-analysis for different climate scenarios and actions.",2023,2030,Climate Roadmap Malmö 2030,Handlingsplan MalmÃ¶ framtidens kuststad_rev2021_210506-tillgÃ¤nglig.pdf,1,The City of Malmö possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Malmö's Integrated climate plan (addressing mitigation and energy),Explore City of Malmö's Climate Action Plan
43940,en,City of Malmö,4,Standalone adaptation plan,"The cloud burst plan is aligned the environmental program in Malmö, and thus the 1.5°C goal.",2017,2026,Cloud burst plan for Malmö,FÃ¤rdplan fÃ¶r klimatanpassning.pdf,4,The City of Malmö possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Malmö's Standalone adaptation plan,Explore City of Malmö's Climate Action Plan
43940,en,City of Malmö,5,Standalone adaptation plan,"The plan is aligned the environmental program in Malmö, and thus the 1.5°C goal.",2019,2023,Action plan for 2019-2023 to strengthen Malmö's role as the coastal city of the future,"Klimatomställning Malmö - Färdplan - Uppvärmning.pdf,Klimatomställning Malmö - Färdplan för Cirkulär Ekonomi (1).pdf,Klimatomställning Malmö - Färdplan för Klimatneutralt byggande.pdf,Klimatomställning Malmö - Färdplan för Mobilitet (1).pdf,Klimatomställning Malmö - Färdplan för klimatsmart konsumtion 2024.pdf",5,The City of Malmö possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Malmö's Standalone adaptation plan,Explore City of Malmö's Climate Action Plan
43940,en,City of Malmö,6,Standalone adaptation plan,The plan is based on previous climate risk assessments. It is based on the worst case scenario of the IPCC.,2024,2030,Roadmap for climate adaptation,Klimatomställning Malmö - Färdplan - Elförsörjning.pdf,6,The City of Malmö possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Malmö's Standalone adaptation plan,Explore City of Malmö's Climate Action Plan
31175,en,City of Paris,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Two vulnerability and robustness assessments have provided insights into the hazards that the territory faces and will face A study in 2012 and its update in 2021Since 2018 the objectives and actions of this adaptation strategy have been integrated into the Paris climate plan adopted in 2018 which includes both mitigation and adaptation components ; it is also the case in the climate action plan adopted, as a project, in December 2023 and to be finally adopted in 2024.",2018,2024,The Climate Action Plan of Paris (https://cdn.paris.fr/paris/2020/11/23/257b26474ba3ba08ee02baa096f9c5dd.pdf),"ParisClimateActionPlan2050.pdf,ParisClimateActionPlan2050.pdf",1,"The City of Paris possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Paris's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Paris's Climate Action Plan
46514,en,City of Porto,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","The medium and long-term climate projection scenarios impacted the plan as they encouraged the various departments of the municipality to react to climate change and to define a set of multi-sectoral adaptation measures and actions. \n\nTo model climate projections, were used two models (RCP 4.5 and 8.5) considering different emissions scenarios. These scenarios were presented and explained in the document with the Risk and Vulnerability Assessment (cap. 2), that but could be assessed in the link: https://ambiente.cm-porto.pt/files/uploads/cms/Caderno%20I%20Avalia%C3%A7%C3%A3o%20de%20Riscos%20e%20Vulnerabilidades%20do%20Porto_PMAC.pdf",2024,2050,Plano Municipal de Ação Climática - PMAC Porto,"1613123260-yGpy4093dh.pdf,8.1.1_Plano de Adaptação Porto_PMAC.pdf",1,"The City of Porto possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Porto's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Porto's Climate Action Plan
46514,en,City of Porto,3,Integrated climate plan (addressing mitigation and energy),"The medium and long-term climate projection scenarios impacted the plan as they reinforce the need and urgency of implementing climate actions as well as updating and reformulating some actions faster and more effectively, to positively respond to expected climate change.",2010,2020,Sustainable Energy Action Plan - https://www.adeporto.eu/client/files/0000000001/paes_305.pdf,"8.1.1_PAES_2010.pdf,paes-porto_808.pdf",3,The City of Porto possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Porto's Integrated climate plan (addressing mitigation and energy),Explore City of Porto's Climate Action Plan
46514,en,City of Porto,5,Integrated climate plan (addressing mitigation and energy),"Climate-related scenarios have significantly shaped Porto's Climate City Contract, ensuring that the city's strategies align with international commitments and the municipality's vision for sustainability. The development of this contract was influenced not just by prospective climate scenarios, but also by concrete outcomes from existing climate initiatives. These scenarios provided a forward-looking perspective on climate risks, challenges, and opportunities, enabling Porto to adopt a proactive stance in its climate action plans. \n\nPorto's approach was guided by the commitments made through international frameworks such as the Covenant of Mayors for Climate and Energy, the Green City Accord, and the EU Mission for 100 Climate-Neutral and Smart Cities by 2030. These frameworks established ambitious targets for reducing greenhouse gas emissions, enhancing energy efficiency, and fostering climate resilience, which the city of Porto incorporated into its strategic planning. \n\nThe climate scenarios helped identify priority areas, setting the stage for interventions that are both impactful and aligned with the global goal of climate neutrality. For instance, they informed the adoption of renewable energy projects, the expansion of green infrastructure, the promotion of sustainable mobility, and the enhancement of energy-efficient buildings. By integrating these insights, the Climate City Contract emphasizes a systemic and multi-sectoral approach to urban transformation, addressing climate challenges in a holistic manner. \n\nFurthermore, the contract reflects Porto's understanding that climate action is an evolving journey. It builds on lessons learned from ongoing initiatives, creating a dynamic strategy that remains flexible and responsive to emerging climate data and trends. This adaptability ensures that Porto not only meets but exceeds its climate targets, demonstrating leadership in the transition to a sustainable, climate-resilient future.",2024,2030,Climate City Contract,8.1.1_PAES_2021.pdf,5,The City of Porto possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Porto's Integrated climate plan (addressing mitigation and energy),Explore City of Porto's Climate Action Plan
46514,en,City of Porto,6,Standalone adaptation plan,"he medium and long-term climate projection scenarios impacted the plan as they encouraged the various departments of the municipality to react to climate change\nand to define a set of multi-sectoral adaptation measures and actions. To model climate projections, were used two models (RCP 4.5 and 8.5) considering different\nemissions scenarios. These scenarios were presented and explained in the document with the Risk and Vulnerability Assessment (cap. 2), that but could be\nassessed in the link: https://ambiente.cm-porto.pt/files/uploads/cms/Caderno%20I%20Avalia%C3%A7%C3%A3o%20de%20Riscos%20e%20Vulnerabilidades%20do%20Porto_PMAC.pdf",2024,2050,Plano de Adaptação às Alterações Climáticas do Porto (https://ambiente.cm-porto.pt/files/uploads/cms/Caderno%20II%20Plano%20de%20Adapta%C3%A7%C3%A3o%20%C3%A0s%20Altera%C3%A7%C3%B5es%20Clim%C3%A1ticas_PMAC%20Porto.pdf),8.1.1_2030 Climate Neutrality Action Plan of the City of Porto.pdf,6,The City of Porto possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Porto's Standalone adaptation plan,Explore City of Porto's Climate Action Plan
60183,en,City of Rzeszów,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",NULL,NULL,NULL,https://bip.erzeszow.pl/74-wladze-miasta-akty-prawa-budzet/60963-strategia-rozwoju-miasta-rzeszowa/60980-strategia-rozwoju-miasta-rzeszowa-do-roku-2025.html,Plano de Adaptação às Alterações Climáticas_PMAC Porto.pdf,1,"The City of Rzeszów possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Rzeszów's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Rzeszów's Climate Action Plan
