Signatory,Id,Describe,Provide
Sweden,43940,"Wider socioeconomic consequences and benefits are a part of Malmö's scenario analysis for climate actions, including health benefits due to improved air quality, more phsyical activity and less traffic based accidents and noise disturbance) and energy savings (including cost savings for fuel, electricity and heating).","See this link, where various examples of inclusive climate action (such as our citizen climate council and energy advisory service) is being described in more detail: https://malmo.se/Miljo-och-klimat/Klimatomstallning-Malmo.html"
Türkiye,44076,NULL,NULL
Spain,46470,"Se han identificado oportunidades / beneficios en una serie de sectores como son el transporte/movilidad, la construcción/edificación, el energético, la gestión de los residuos, etc. Como beneficios comunes a todos los sectores se ha identificado: la mejora de la salud pública e individual, la mejora de la calidad de vida, la reducción de la contaminación atmosférica y acústica, la mejora de la calidad de los recursos (agua, suelo) y la creación de empleo local verde y de calidad. Sectorialmente, se han identificado además los siguientes: a) sector transporte / movilidad: la reducción del tráfico y la congestión, la potenciación de la utilización del transporte público, la renovación del parque de vehículos, la movilidad activa y el favorecimiento de las relaciones sociales; b) construcción / edificación: el impulso a las nuevas tecnologías y formas de construcción sostenible, la mejora del confort térmico de las viviendas, la mejora de los espacios públicos, la reducción del gasto familiar en la factura energética, la reducción de la pobreza energética; el incremento del valor de los edificios, y el fomento de la colaboración público-privada; sector energético: el impulso de las energías renovables para la generación de electricidad, la reducción de la dependencia energética externa, el impulso del autoabastecimiento energético, la reducción de la factura energética, y el empoderamiento de la ciudadanía; sector de gestión de residuos: el impulso a la ecología industrial y la economía circular, el aumento en la reutilización de materiales, la disminución en la generación de residuos urbanos, la reducción del consumo de energía para la obtención de materias primas, la reducción de eliminación en vertedero y reducción de inversiones en ellos, así como la mejora en su gestión, y la innovación tecnológica del sector industrial local; otros sectores: la conservación y potenciación de la biodiversidad, la mejora en la resiliencia reduciendo los riesgo climáticos (por ej. inundaciones), la reducción la isla de calor urbana, y el aumento de la superficie de sumideros de carbono en el municipio. El archivo adjunto recoge los sectores y subsectores considerados para la reducción de emisiones en nuestro municipio, las palancas sistémicas y los cambios a corto y largo plazo asociadas a las mismas, identificando finalmente para cada una los impactos indirectos o cobeneficios.","El proyecto de rehabilitación energética de barrio de Coronación (Vitoria-Gasteiz) recibió la financiación de la Comisión Europea través del programa SmartEncity, y una financiación adicional del Gobierno vasco, a través del Departamento de Medio Ambiente, Planificación Territorial y Vivienda. Asimismo, el Gobierno Vasco realizó también una aportación a VISESA, sociedad pública para el desarrollo de su política territorial de vivienda, y ejecutora del proyecto, para la constitución de un Fondo de Garantía que permitiera ayudar a las personas propietarias de viviendas en el barrio que no tuvieran la capacidad económica para afrontar la parte no subvencionada del coste de la rehabilitación. La aportación, con una cuantía de 2.310.000 euros, se destinó a la ayuda directa para personas con dificultades de acceso a la financiación. Sólo pudieron acceder a estas ayudas aquellos solicitantes de viviendas destinadas al domicilio habitual y permanente y se concedió en función de los ingresos familiares ponderados de la unidad convivencial. Asimismo, el Ayuntamiento de Vitoria-Gasteiz. mediante Convenio de colaboración con VISESA, aportó hasta un máximo de 990.000 euros al Fondo de Garantía. Las bases de Fondo de Garantía del Proyecto de Regeneración Urbana Integrada del barrio de Coronación recogían que las aportaciones económicas estaban dirigidas a sufragar un porcentaje de entre el 25% y el 85% de la parte del coste de la rehabilitación no cubierta por las subvenciones públicas de la UE y del GV, o cualquier otra que se perciba con la misma finalidad, y que debía ser abonada por personas titulares de las viviendas con escasos ingresos o dificultades de acceso a la financiación. Para tener acceso a las aportaciones, los solicitantes debían tener ingresos ponderados familiares no superiores a 15.000 euros anuales."
Portugal,46514,"Direct reduction of energy consumption and greenhouse gas emissions: either by transitioning to renewable or less polluting energy sources and by increasing the energy efficiency of consumption, such as the replacement of the municipal fleet by electric vehicles, of the greater supply of more accessible and zero emissions public transport, energy efficiency measures at the buildings level, among others. \nIncreasing the energy autonomy of the city: With the use of renewable energy, namely with the production of solar energy within the city borders, the city's resilience and autonomy is expected to increase in face of energy needs, both from the point of view of cost and availability, a transition that is considered essential in the face of the uncertainty of energy costs, and which translate into clear economic benefits, as well as from the point of view of reducing consumption and production costs. This could lead to significant benefits in reducing energy poverty in the city. \nImprovement of air quality: through the reduction of GHG emissions and by the implementation of nature-based solutions (mainly trees and green cover, which contribute to air pollutants removal). \nIncreasing landscape quality and promoting biodiversity: The focus on green and blue infrastructures and nature-based solutions, such as the requalification of streams and water lines, the expansion of green spaces of public access and other forms of green infrastructure increases the quality of the city landscape and, simultaneously, benefits biodiversity and boosts services provided by ecosystems. \nIncreasing health and well-being: By reducing air pollutants (reducing emissions), increasing the availability of public space appropriate for the use of soft transportation modes, and expanding green and blue infrastructures, the health and well-being of the population can be incremented. Increasing the safety, pleasantness, functionality and availability of soft transportation modes, citizens will be more prone to use this option for (at least) short distance displacements, walking and biking more (daily physical activity).The availability of parks and water sheds significantly help fight the heat island effects during summer and heat waves (which will be more frequent), creating cooler buffers and, consequently, protecting the health of the population, particularly the most vulnerable. Simultaneously, parks appeal to physical activity and walking. \nEconomic benefits: either by saving energy and/or by local decentralized production of renewable energy, the citizens and organisations will be able to significantly reduce energy costs in the medium and long term, either by saving energy and/or by local decentralized production of renewable energy, the citizens and organisations will be able to significantly reduce energy costs in the medium and long-terms. New green jobs related with, for instance, with renewable energies and energy technologies will increase. \nGiven the benefits listed, Porto believes that the transition presents a valuable opportunities to enhance the quality of life for its citizens, ultimately benefiting the entire city and region. The empowerment of the community, enabling individuals to make informed energy decisions, will play a crucial role in this process. This shift will also promote a change in societal norms, fostering a culture of sustainability and environmental responsibility. Furthermore, the region will become increasingly attractive for investment in innovative and sustainable projects, further driving economic growth and reinforcing these positive changes.","Equitable and inclusive distribution of climate action is being developed under different and complementary projects: \nWithin the URBiNAT - Healthy Corridors as drivers of social housing neighbourhoods for the co-creation of social, environmental and marketable Nature Based Solutions, the municipality built a new green park in a deprived area of the city, resulting in a 4 ha of new green space, with 1,5 km of pedestrian paths between three social housing neighbourhoods, promoting mobility, access and facilitate the life of several citizens that lives in a more vulnerable social and economic situation. https://www.porto.pt/en/news/population-of-campanha-opens-to-the-city-the-park-they-dreamed-of-and-even-planted\nEnhancement of the Municipal Social Housing: The Municipality of Porto is developing actions specifically aimed at mitigating energy poverty in municipal public housing buildings (50 neighbourhoods and more than 13,000 dwellings). Of note is the rehabilitation of buildings to increase their thermal and energy performance. With 85% of these buildings rehabilitated, an emission reduction of 42,560 ton CO2eq is estimated, compared to 2004. \nEnhancement of school buildings by placing photovoltaic panels for the production and self-consumption of energy, to increase the energy autonomy of schools, and to promote the improvement of the comfort of students and teachers, thus contributing to the improvement of learning. The panels were installed in twenty-nine schools and municipal buildings that are benefiting a great number of students and citizens and, at the same time, increasing the energy literacy of the students in these schools through a digital gamification tool. https://www.porto.pt/en/news/escola-basica-do-falcao-and-secundaria-alexandre-herculano-gain-a-new-life\nPorto launched an initiative to help and empower citizens for energy literacy - Porto Energy Hub. This project is a one-stop-shop that provide financial, technical and legal support to citizens and companies to improve energy efficiency, reduce energy bill costs and reduce GHG emissions. https://www.porto.pt/pt/noticia/porto-energy-hub-apoia-cidadaos-e-empresas-no-caminho-para-a-eficiencia-energetica\nThe ASCEND project, a Horizon Europe Project, is another example of climate action in areas of the city that are more vulnerable. This project, currently under development, aims to create a Positive Clean Energy District (PCED), namely through the implementation of renewable energy production solutions for self-consumption and through the creation of collective self-consumption or renewable energy communities. The intervention area, located in Lordelo do Ouro neighborhood, has many social housing buildings (seven in total) and several public schools. The aim is to improve the energy literacy of this population and reduce the conditions of energy poverty in this area. This area has an PV production capacity of around 68 kWp (promoted by Porto Solar), and it is expected that PV production will increase in the coming years with the installation of more PV panels on other buildings. https://www.porto.pt/pt/noticia/contrato-da-cidade-com-o-clima-faz-acelerar-todos-os-caminhos-da-descarbonizacao\nPorto is committed to double the green spaces for public use throughout the city. Included in the Municipal Master Plan (MMP), the strategy for the expansion of municipal green infrastructure identified a set of places dispersed throughout the city to transform or increase the available green area, supporting a policy of bringing citizens closer to green spaces, where all citizens are expected to have a leisure space a few meters from their homes. \nPorto continues the public transport improving, namely through the metro network expansion and the creation of a new metrobus line. \nWithin the NBRACER project - Nature Based Solutions for Atlantic Regional Climate Resilience, the municipality will create a public green space strengthening its connectivity by improving bioph"
Finland,50154,"City of Turku is chairing the Turku Region Air Protection Co-operative Group. The group consists of the environmental authorities of the region, together with 11 industrial partners encompassing the energy industry, shipyards, harbors, the building materials industry and others. Turku is monitoring ambient air quality at seven monitoring stations in the region. The emissions of air pollutants have decreased substantially with the emissions of greenhouse gases. In 2023, ambient air quality, as determined by the national 24-hour air quality index, was most commonly classified as good or satisfactory. Limit values were not exceeded.\n\nThe baseline assessment study for the Circular Turku Roadmap identified more than 700 circular economy stakeholders, 270 of which were businesses engaged in circular economy. Many significant regional solutions that follow circular economy principles have already been implemented in energy production, water systems, waste management and industry development.\n\nTurku has been developing climate budgeting for preparation, steering and monitoring its investments. In climate budgeting, the EU taxonomy classification of sustainable funding has been used as the framework for assessing the climate impacts of investments, which enables a multidimensional examination of environmental objectives and, for example, the utilization of green funding. In addition to climate change mitigation and adaptation, the approach incorporates objectives for water and marine resources, circular economy, pollution prevention, and biodiversity. We collaborate closely with the scientific community in providing knowledge about climate related health risks and their linkage to nature-based solutions and social equity. For example, in the Hercules project environmental and socio-economic parameters have been analyzed together with cohort health data on several time-steps in the largest cities of Finland. In many studies higher greenness has been associated with higher levels of physical activity. Importantly, the association between higher greenness and higher level of physical activity is stronger in the more disadvantaged areas. The studies have also shown an inverse association between residential greenness and depression, implying lowered depression risk for individuals with higher residential greenness.\n\nWe have also studied the evolution of spatial temperature differences during a 17 year period in Turku. The Urban Heat Island intensity showed a slight intensifying trend. Relative cooling of daytime temperatures was also detected at some observation sites e.g. as a consequence of forest growth and related micro-climatological change. Thus vegetation is a valuable measure to mitigate the Urban Heat Island effect and to reduce heat related mortality also in higher latitudes.","In addition to above, Turku is a partner in several projects dealing with these issues. For example, in Coevolvers we are exploring how nature-based solutions (NBS) can contribute to the societal change needed to address the ongoing biodiversity and climate crisis. We are working on co-designing fair NBS governance techniques, models, and practices that are fair for humans (especially for vulnerable people) and non-humans."
Portugal,50669,"O Município de Matosinhos tem vindo a identificar várias oportunidades e benefícios na ação climática, de que são exemplo:\n. Oportunidades Económicas - (a) Crescimento de Novos Setores: A transição para uma economia de baixo carbono pode estimular o crescimento de setores emergentes, como energias renováveis, eficiência energética, mobilidade elétrica e tecnologias verdes. Isso pode gerar novos empregos e atrair novos investimentos para a região. \n(b) Inovação e Competitividade: A adoção de práticas e tecnologias sustentáveis pode posicionar Matosinhos como um líder em inovação verde, aumentando a competitividade das empresas locais tanto no mercado nacional quanto internacional. Matosinhos tem explorado esta oportunidade com programas de incubação de ideias como: \nO projeto BluAct é um projeto que teve a sua génese na rede URBACT (que é um programa europeu de aprendizagem e troca de experiências na promoção do desenvolvimento urbano sustentável) e seguiu o exemplo da cidade grega de Piraeus, que implementou, em 2018, um concurso para apoiar o empreendedorismo sustentável em investimentos relacionados com a economia azul.\nMatosinhos avança para a 4.ª edição do projeto. Desde 2018 já passaram pelo programa 21 projetos e destes, 9 foram incubados nas instalações da UPTEC MAR em Leça da Palmeira. Estão estimados volumes de negócio que rondam os 2 milhões de euros anuais.\nO Colmeia, programa de inovação colaborativa desenvolvido pela Galp e a Câmara Municipal de Matosinhos, foi lançado oficialmente no QSP SUMMIT. O Colmeia é um programa visa impulsionar o empreendedorismo e a transição energética em Matosinhos , reunindo talento, start-ups e toda a comunidade em torno de soluções sustentáveis.\nMatosinhos é parceiro na edição nacional do Climate Launchpad, é a maior competição de ideias cleantech do mundo. Já concorreram 79 equipas com 153 ideias de negócio submetidas e 4 vencedores Europeus.\n. Turismo Sustentável - A promoção de iniciativas de turismo sustentável pode atrair visitantes interessados em práticas ecológicas, contribuindo para a economia local de forma sustentável.\n. Benefícios Ambientais - (a) Melhoria da Qualidade do Ar: A redução das emissões de gases poluentes pode levar a uma melhoria significativa na qualidade do ar, resultando em benefícios para a saúde pública e bem-estar dos residentes.\n(b) Conservação dos Recursos Naturais: A adoção de práticas sustentáveis pode ajudar na conservação dos recursos naturais locais, preservando a biodiversidade e os ecossistemas da região.\n(c) Redução da Pegada Ecológica: A implementação de políticas de redução de carbono pode ajudar Matosinhos a reduzir sua pegada ecológica, contribuindo para a mitigação das mudanças climáticas globais.\n. Benefícios Sociais: (a) Melhoria da Saúde Pública: A diminuição da poluição do ar e a promoção de modos de vida mais sustentáveis podem resultar em melhorias significativas na saúde pública, reduzindo a incidência de doenças respiratórias e outras condições associadas com a poluição.\n(b) Cidades Mais Vivas e Sustentáveis: Iniciativas como o aumento de espaços verdes urbanos, promoção de transportes públicos e mobilidade ativa (como ciclismo e caminhadas) podem tornar a cidade mais agradável e habitável.\n(c) Inclusão e Justiça Social: As ações climáticas bem planeadas podem garantir que todos os segmentos da sociedade beneficiem das mudanças, promovendo a inclusão social e a justiça ambiental.\n(d) Qualidade de Vida: As ações climáticas podem resultar numa melhoria geral da qualidade de vida, com cidades mais limpas, saudáveis e prósperas.\n","A garantia de uma distribuição equitativa e inclusiva na ação climática é um dos desafios da resposta às alterações climáticas, contudo, esta é uma importante preocupação para assegurar que todos tem acesso a medidas de mitigação e adaptação independentemente das respetivas condições socioeconómicas.\nEsta é também uma das preocupações do Município de Matosinhos que, de forma a garantir uma atuação equitativa e inclusiva elaborou, este ano 2024, o Plano Municipal de Ação para a Mitigação da Pobreza Energética, o qual pretende integrar as populações mais vulneráveis de forma ativa na transição energética. Este Plano é composto por um conjunto de medidas de ação que pretendem proteger e salvaguardar estes consumidores do risco de pobreza energética. \nO instrumento debruça a sua ação sobre 4 eixos: habitação, acesso a serviços de energia, implementação de uma ação territorial integrada e a aposta no conhecimento como forma de informar para o processo de decisão. As várias medidas pretendem: (I) aumentar o conforto térmico das residências, diminuir consumos energéticos através da promoção da eficiência energética, promover a produção de energia renovável,(II) assegurar o acesso ininterrupto a serviços de energia, (III) reforçar a ação das estruturas locais no combate à pobreza energética e (IV) capacitar os atores locais, aumentar a literacia energética de diferentes públicos-alvo, estimular a investigação e robustecer a oferta formativa em domínios deste compto. \nPara apoiar diretamente os cidadãos a implementar medidas de eficiência energética nas suas habitações e melhorar as suas condições de habitabilidade, Matosinhos disponibiliza, desde novembro de 2022, um balcão único (one-stop-shop) digital e físico denominado Matosinhos Energy Hub. Este balcão, desenvolvido no âmbito do projeto Porto Energy ElevatoR (PEER), financiado pelo programa Horizonte 2020 e coordenado pela Agência de Energia do Porto, compreende o aconselhamento acerca de soluções de eficiência energética e de energias renováveis, legislação aplicável, identificação de oportunidades e apoio a candidaturas para financiamento. É um exemplo concreto da atuação do Município de Matosinhos em prol da garantia da equidade e inclusividade nas políticas em prol do clima. No ano de 2023, foram feitos 49 pedidos de avaliação de potencial (inquéritos respondidos) e 41 atendimentos técnicos.\nTambém o projeto ATELIER que tem como objetivo contribuir para o desenho de cidades inteligentes, energeticamente eficientes, com planos de mobilidade sustentável e com integração de soluções de produção de energia renovável é desenvolvido numa área de intervenção com populações mais vulneráveis. Este projeto atua sobre o Conjunto Habitacional de Custió (Bairro Social) e estende-se ao troço do Rio Leça entre a Ponte da Pedra e a Ponte do Carro. \nA participação no ATELIER complementa as ações iniciadas em 2018 no Living Lab de Matosinhos, um projeto financiado pelo Fundo Ambiental, no qual foram desenvolvidas um conjunto de iniciativas de cocriação e inovação aberta com o objetivo de desenvolvimento de um espaço de teste, experimentação, e demonstração, em contexto real, de soluções tecnológicas, organizacionais e sociais integradas na intersecção entre mobilidade, energia, ambiente, edifícios e conectividade orientadas para a descarbonização da cidade. \nOutro exemplo pode ser dado através do projeto PROLIGHT. Um dos objetivos deste projeto compreende a implementação de uma solução de produção de energia renovável, através da implementação de painéis fotovoltaicos no Bairro de Carcavelos, com o objetivo final de poder dar origem a uma comunidade de energia renovável. Pretende-se através do envolvimento da comunidade e do desenvolvimento dos investimentos necessários poder beneficiar a população vulnerável deste Bairro, disponibilizando energia renovável a custos mais acessíveis. É também uma maneira de combate à pobreza energética desta comunidade. \nO próprio Laboratório de Cidadani"
Portugal,50678,NULL,"Como cidade histórica, Évora deve assegurar que as iniciativas de eficiência energética e renovação não comprometam o seu património cultural. A implementação de tecnologias inovadoras que respeitem a integridade patrimonial é fundamental, mas frequentemente encontra limitações regulamentares.\nNo centro Histórico de Évora muitas famílias enfrentam grandes dificuldades para melhorar a eficiência energética das suas habitações, o que as torna vulneráveis à pobreza energética. A necessidade de intervenções em edifícios antigos, que devem respeitar o património, aumenta os custos das melhorias. Assim, é crucial disponibilizar apoios financeiros a nível europeu e nacional para garantir uma transição justa e acessível.\nO município de Évora é parceiro do projeto POCITYF - A Positive Energy CITY Transformation Framework, cujo objetivo é auxiliar as cidades históricas a tornarem-se mais verdes e mais inteligentes, respeitando ao mesmo tempo o seu património cultural e social.\nEste projeto promove a redução de emissões poluentes e de Gases com Efeito de Estufa, através de uma rede de soluções tecnológicas inovadoras, contribuindo para a produção de energia limpa e para a descarbonização das cidades históricas. A implementação dessas soluções está associada ao envolvimento ativo dos cidadãos e à sua participação direta na tomada de decisões e no desenvolvimento sustentável do território.\n"
Portugal,50680,NULL,NULL
Finland,54403,"Other benefits of city's climate actions have been listed for each action group included to the Climate Neutral Tampere 2030 -roadmap. Some specific actions are targeted with a detailed analysis. Especially in sustainable moblility, city specialists have made a cost-benefit analysis including time saved, costs and savings to both the goernment and individuals, health benefits, accidents and environmental impacts.The co-benefits include: increasing awareness of alternative community development scenarios, enabling an economic and resource-efficient urban structure, promoting a diverse urban environment, enabling infill development, strengthening the profitability of services and public transport, Securing a carbon-sequestering urban green, Strengthening urban biodiversity, Positive effects on well-being and microclimate, such as mitigation of heat, wind and stormwater flooding, Strengthening Tampere's attractiveness, Developing new business, Increased level of service, cost-effectiveness and modal share of public transport services, Smooth everyday life and an attractive street environment, Reduction in the number of road accidents, Expansion of central functions and denser urban structure, Tampere profiled as a European rail city, Total economy, economic benefits of denser land use, Decreased use of private cars, Improvement of air quality, Reduction of noise pollution, Improvements in public transport service levels and cost-efficiency, Reduction of harmful local emissions, Improvement of the image of bus transport and fleet renewal, Improving the fluency and attractiveness of public transport, Improving the competitiveness of public transport, Enabling new mobility services, Health benefits of walking and cycling, Improvement of air quality, Reduction of noise pollution, Increased well-being, Financial benefits to consumers, Improvement of air quality, Reduction of noise pollution, More efficient use of urban space, Financial savings, Improvement of air quality, Health benefits, Improved quality of equipment, Creation of new business opportunities, Smoother and faster journeys, Reduces the need to own a car, More attractive urban environment, Positive health effects, Improvement of air quality, Reduction of noise pollution, More efficient use of urban space, Increased well-being, More efficient use of resources and space, Life-cycle savings, More efficient use of resources, Life-cycle economic impacts, Development of sustainable construction know-how and business, Savings in property maintenance costs, Economic impacts over the life-cycle of buildings, Improved well-being, Reduction of indoor air problems, Savings in property maintenance costs, Protecting the value of buildings, Improved comfort of living , Development of sustainable construction know-how and business, Promoting diverse urban development, Promoting expertise and business in timber construction, Promoting competition in building materials, Improved resource efficiency, Life-cycle cost savings, Modernisation and extension of the lifespan of Naistenlahti Power Plant, Versatile and economical range of fuels, Utilisation of local renewable energy, Developing new skills and business, Reduced life-cycle costs in street lighting, Diversification of the energy system, Development of new services and business, Decreased life-cycle costs , Diversification of the energy system , Image benefits, Increased energy self-sufficiency, New services and business models, Decreased local emissions, Cost savings through more efficient recycling and better use of materials, Cost savings through more efficient recycling and better use of materials, Development of new innovations and local businesses, Improving the state of the water system, Enabling city growth, Cost savings , Increase in the independent activities of urban residents, Health effects, Economical savings due to reduced food waste, The economic and social impact of sustainable development in addition to ecological effe","Inclusivity and equity are in the center of the City Strategy. In Tampere, we have understood that achieving climate neutrality by 2030, and ensuring a just and inclusive urban climate transition, requires new ways of engaging citizens and making their sustainable choices as easy as possible. The transition must be socially justifiable and meaningful to people. By 2030, everyone in Tampere has to be able to live a climate resilient lifestyle and make climate friendly choices best suited for oneself, regardless of one's socioeconomic situation, neighbourhood, age, gender or health. This requires strengthening of cultural sustainability of our climate action. It means keeping everyone on board and working seriously towards cohesive and sustainable communities and the social and ecological change. To ensure this a new 4-year development program Climate Neutral Actions was established in 2022,. The program concentrates on enabling behavioural change of citizens, especially in terms of their mobility and consumption. In addition, the program focuses on enhancing circular economy especially with the private sector, and furthermore coordinates and monitors city's own climate and environmental work, including biodiversity. The methods of the program are heavily focused on co-creation and empowerment. As a result, we will have climate actions tailored for specific city areas and groups of people, actions that actually are feasible for them in terms of their life situation and living location. As examples of our past actions, we have organised climate hero campaigns where citizens could share their favourite climate actions and calculate their carbon footprint. The city has also hosted Eco Impact dialogues for people to chat, share ideas, and get inspired. In another campaign the carbon footprint of four households was calculated and actions by which the household would achieve a so-called 1.5-degree life by 2030, were planned. Additionally, Tampere empowers its citizen by participatory budgeting, My2050 climate mobile game, and mobility carbon footprint calculator.Tampere has a continuous tradition of sustainability and climate work since first citizen engagement actions in 1990s. The climate neutrality goal has been explicitly stated in the city strategies and mayoral programs since 2017. We have separate councils for example for youth, elderly and disabled citizens. Citizens are also involved to the city planning process. People-centred housing, sustainable mobility, smart energy systems, circular economy and green and blue infrastructure, as well as co-creation with citizens, are at the core of our flagship urban investments, such as the new Hiedanranta city district. We also use data- and AI-driven solutions to develop smarter and more sustainable urban infrastructure and public services. Our annual climate budget is an important climate governance and transparency tool, which as part of the official financial statements makes visible the progress towards climate neutrality and the financial resources allocated for the measures. Achieving the above climate vision requires a change in our ways of doing and thinking in all spheres of urban development and urban life, and determination for working together. Citizen empowerment, humancentered actions and co-creation are at the core of our climate policy and all related actions. We are cocreating a climate neutral city and a just and resilient urban future for Tampere together with our citizens, communities, universities and companies."
Denmark,54408,Mainly health benefits from changes in modal split in transport (increase in biking and walking). Increase in employment in Aarhus and branding value due to the green transition.,GREEN MOBILITY PLAN: https://aarhus.dk/media/4wmlyexi/aftale-om-groen-mobilitetsplan_070824.pdf SUSTAINABLE FOOD TO CHILDREN AND ELDERLY: https://aarhus.dk/demokrati/planer-og-politikker/klima-energi-og-forsyning/boern-og-unges-klimaplan/indsatsomraade-2-baeredygtig-mad
France,54419,"An SDG analysis is conducted by the city and the metropolis every year to evaluate their action on different aspects. The latest one was carried out in 2023 for 2022.Climate actions have benefits on :\n- Human health : improvement of air quality, less noise, adaptation to heat waves, following of invasive species like the tiger mosquito, etc. It is followed by a local contract for health for the metropolitan region.\n- The protection of biodiversity and endemic species. Renaturation and greening of the city makes it also less hot during the summer and improves life quality. This also helps to improve water infiltration in the area, thereby reducing the risk of flooding.\n- Economy : some sectors need major changes in strategy to adapt themselves to climate change, like construction, and can thus create new employment. The shift towards low carbon economy can attract new investments to the territory. The economics network is encouraged to shift towards low-carbon economy, and the city and the metropolis provide some guidance and events for them to share good practice. The Interreg project Clim'Ability Care provides a framework for companies to share and improve their practices for adapting to climate change and has also turned into an interesting opportunity to foster transnational cooperation regarding adaptation solutions. \n- Social justice: climate action needs to be conducted to maintain social justice. Putting in place adaptation solutions is important to ensure the most vulnerable inhabitants are as protected as the most privileged ones. Then, citizens are invited to participate in decisions-making process to make them less difficult to accept. The most vulnerable inhabitants are helped financially and free counselling is provided by the Climate Agency.","Besides the actions that are led internally, the city finances the Climate Agency which provides counselling to citizens on how to decarbonate their means of transportation, or renovate their houses or apartments. The city also offers financial help for poorer citizens to change their means of transport so that it fits with the new regulation of the low emission zone. The heat wave plan tackles specific population that are more vulnerable. The adaptation strategy seeks to ensure that every inhabitant in the city can have access to nature. Reduction of energy poverty is a priority for the city, which helps poorer households to renovate their houses. The Citizen Participation Department also makes sure that no one is left behind, by ensuring that public policies are decided in collaboration with citizens, in a spirit of diversity and inclusiveness. The CODEV (a citizen body) is consulted on a wide range of socio-climatic issues. Finally, the Independent Observatory of Citizen Participation (created in 2023), an all-citizen body made up of representative panel of 20 citizens of Strasbourg for a one-year term, is now dedicated to monitoring and exploring citizen participation within the city of Strasbourg. These multiple bodies ensure that the opinions of citizens are taken into account in the decision-making process and that climate action is distributed as fairly and inclusively as possible."
Spain,54498,"En las acciones de mitigación y las acciones de adaptación incluidas en los planes de las Estrategias de Mitigación y Adaptación (PACES 2030) se indican los beneficios asociados a la implementación de dichas medidas, tanto de tipo socio-económico como de tipo medioambiental, en términos cualitativos como cuantitativos (ahorro de energía, reducción de emisiones de CO2), cuyo monitoreo se realiza en los correspondientes informes de seguimiento.En la hoja de ruta de la Estrategia de Adaptación al Cambio Climático del Municipio de Murcia, se seleccionaron 31 medidas para las cuales se realizó un análisis adicional tanto para su priorización dentro de los horizontes temporales preestablecidos como para su implementación y monitoreo, consistente en un análisis cualitativo de las medidas en base a los criterios más pertinentes para la toma de decisión en cuanto a su priorización. Los criterios seleccionados incluían la efectividad ante el cambio climático, la urgencia, los cobeneficios socioeconómicos, los cobeneficios ambientales y el coste de la medida, dando lugar una clasificación jerárquica de las medidas en base a la puntuación global obtenida, la cual contribuiría a precisar su priorización temporal para la implementación. Esta clasificación puede observarse en la Estrategia de Adaptación adjunta.Respecto a la Estrategia de Mitigación, el sector del transporte es el de mayor potencial para el ahorro de energía y la reducción de emisiones de tCO2, siendo el sector que cuenta con mayor número de medidas planificadas en el PACES 2030.","Este año se está implementando el proyecto \'Mi Hogar, con Energía y Agua\', subvencionado con fondos Next Generation, siendo sus objetivos asegurar a las familias vulnerables el acceso y mantenimiento adecuado y asequible a los servicios de luz y agua para garantizar una vida digna. Además se desarrollan intervenciones sociales individuales para reducir situaciones de problemas energética e hídrica, dotándoles de los recursos necesarios para poder cubrir el coste de reformas en las viviendas que lo precisen, evitando de esta forma situaciones de desprotección social. También se están realizando acciones formativas orientadas al ahorro y eficiencia energética e hídrica para reducir el coste de las facturas, optimizar el consumo y solicitar ayudas de las que se puedan beneficiar. También se está promoviendo la creación de comunidades energéticas locales basadas en la participación abierta y voluntaria, efectivamente controladas por sus socios o miembros ,que desarrollen proyectos de energías renovables, eficiencia energética y/o movilidad sostenible a fin de proporcionarles beneficios medioambientales, económicos o sociales. A tal fin se ha solicitado una subvención para crear una Oficina de Transformación Comunitaria para la promoción y dinamización de comunidades energéticas (Programa CE OFICINAS, en el marco del Plan de Recuperación, Transformación y Resiliencia), pendiente de resolución.Asimismo, recientemente se ha creado una Red de Refugios Climáticos: espacios municipales accesibles, que cuentan con temperatura confortable y ofrecen descanso y seguridad frente a episodios meteorológicos extremos, como son las olas de calor, al tiempo que mantienen los usos y funcionalidades para los que se crearon (bibliotecas, museos, etc.). Los refugios climáticos están dirigidos a la población en general, pero especialmente a la perteneciente a grupos vulnerables, como personas mayores, personas con enfermedades crónicas, niños y niñas, etc., esto es, a aquellas personas que pueden sufrir de manera más directa los efectos del calor. Todos los espacios climáticos se encuentran geolocalizados en un mapa de recursos, donde se puede ver toda la información sobre ubicación, dirección, horarios de apertura y demás, al que se puede acceder a través del siguiente enlace: https://geoportal.murcia.es/"
Sweden,54510,NULL,We are investigating the societal costs benefit anlyses of reducing the emissions in Umeå on an aggregated level togheter with Material Economics. Where we also look at which different actors will benefint from the transition in Umeå.
Ireland,55317,"Galway city council have identified a number of action under its climate action plan which will enhance the life's of all it population. There actions are in a number of different areas Governance and Leadership, Energy and Built Environment, Communities Resiliency and Transition, Environment and Biodiversity, Transport and Mobility and Sustainability and Resource Management.",NULL
