Id,Signatory,Language,Order,Action_Id,Action,More_Details_Label,Hazards_Addressed_Label,Sectors_Label,Funding_Sources_Label,Funding_Sources,Co_Benefits_Label
31175,City of Paris,en,13,13,Cool pavement,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Other, please specify source(s),Jurisdiction's own resources",Co-benefits realized:
73054,Venetia Region,en,10,10,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,11,11,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,14,14,Adaptive land-use management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
54408,Aarhus Municipality,en,1,1,Ecological corridors,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72923,Autonomous Community of Andalusia,en,1,1,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,2,2,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,3,3,Disaster planning and preparedness,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,4,4,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,5,5,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,6,6,Adaptive management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72923,Autonomous Community of Andalusia,en,7,7,Early warning and response systems,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72923,Autonomous Community of Andalusia,en,8,8,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,9,9,Biodiversity monitoring,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Public-private partnerships,Jurisdiction's own resources",Co-benefits realized:
72923,Autonomous Community of Andalusia,en,10,10,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,11,11,Disaster planning and preparedness,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,12,12,Transport and road infrastructure adaptation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
72923,Autonomous Community of Andalusia,en,13,13,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72923,Autonomous Community of Andalusia,en,14,14,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,1,1,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,2,2,Adaptive management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,3,3,Biodiversity monitoring,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,4,4,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,5,5,Hazard resistant infrastructure design and construction,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,6,6,Community-based adaptation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,7,7,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,International (including ODA),Co-benefits realized:
72927,Autonomous Community of Catalonia,en,8,8,Increasing biological diversity,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,9,9,Bushfire reduction and prescribed fire,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
826431,Municipality of Loulé,en,43,43,Municipal services (including water and sanitation),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73193,State of Styria,en,4,4,Early warning and response systems,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72927,Autonomous Community of Catalonia,en,10,10,Resilience and resistance measures for buildings,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72920,Autonomous Community of Galicia,en,1,1,Water efficiency regulations or standards,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72920,Autonomous Community of Galicia,en,2,2,Municipal services to reduce food waste (including composting),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
73193,State of Styria,en,9,9,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
54510,Umeå Municipality,en,2,2,Shading in public spaces,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72920,Autonomous Community of Galicia,en,3,3,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
73054,Venetia Region,en,12,12,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,13,13,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,14,14,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72920,Autonomous Community of Galicia,en,4,4,Preservation of local and regional agricultural space,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
72920,Autonomous Community of Galicia,en,5,5,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,International (including ODA),Jurisdiction's own resources",Co-benefits realized:
72920,Autonomous Community of Galicia,en,6,6,Sustainable forest management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72924,Autonomous Community of Navarre,en,1,1,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Other, please specify source(s)",Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,1,1,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Public-private partnerships,Jurisdiction's own resources",Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,2,2,Land zoning laws (including restrict development in at risk areas),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,4,4,Land zoning laws (including restrict development in at risk areas),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,19,19,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,20,20,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,21,21,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,5,5,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,6,6,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,26,26,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,27,27,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,28,28,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,7,7,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,8,8,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,9,9,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,International (including ODA),Co-benefits realized:
72926,Autonomous Community of the Basque Country,en,10,10,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,International (including ODA),Co-benefits realized:
73075,Brittany Region,en,1,1,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
44076,Bursa Metropolitan Municipality,en,2,2,Renewable energy technologies,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
44076,Bursa Metropolitan Municipality,en,3,3,Storm and wastewater management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
44076,Bursa Metropolitan Municipality,en,4,4,Ecological corridors,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
54419,City and Metropolitan Municipality of Strasbourg,en,2,2,Ecological corridors,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,"Municipal/jurisdictional food procurement policies that support sustainable food production practices (including school procurement, etc.)",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
73054,Venetia Region,en,33,33,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,34,34,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,35,35,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,36,36,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,16,16,Public preparedness (including exercises/drills),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
73054,Venetia Region,en,42,42,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,17,17,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,46,46,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,47,47,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,18,18,Building standards,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,19,19,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,20,20,Sewage works,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,21,21,Hazard resistant infrastructure design and construction,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,22,22,Afforestation and reforestation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,23,23,Adaptive land-use management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,24,24,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,25,25,Heat mapping and thermal imaging,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,26,26,Resilience and resistance measures for buildings,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,27,27,Diversifying water supply (including new sources),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources,Private partnerships (e.g., a combination of private investments)",Co-benefits realized:
31175,City of Paris,en,28,28,"Cooling centres, pools, water parks/plazas",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
46514,City of Porto,en,1,1,Sea walls and coastal protection structures,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
46514,City of Porto,en,2,2,Soil retention strategies,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
46514,City of Porto,en,3,3,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
46514,City of Porto,en,4,4,Green infrastructure,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
